"scientific_name","species","iucn_category","individuals","superclass","taxon_id","synonym","tol_id","genus","family","order","class","zoonomia","taxon_rank","genome","cell_lines","nspecies","assembly_level","genome_size","illumina","silencer"
"Mungos mungo","Mungos mungo","LEAST CONCERN",1,"Mammalia","210652","Crossarchus fasciatus colonus","mMunMun","Mungos","Herpestidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Scaffold",2738400000,TRUE,FALSE
"Ursus thibetanus","Ursus thibetanus","VULNERABLE",1,"Mammalia","9642","Ursus thibetanus","mUrsThi","Ursus","Ursidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Scaffold",2689500000,TRUE,FALSE
"Otaria byronia","Otaria byronia","LEAST CONCERN",3,"Mammalia","161932","Phoca flavescens","mOtaByr","Otaria","Otariidae","Carnivora","Mammalia",FALSE,NA,TRUE,3,18,"Scaffold",3080700000,TRUE,FALSE
"Ailuropoda melanoleuca","Ailuropoda melanoleuca","VULNERABLE",2,"Mammalia","9646","Ailuropus melanoleucus","mAilMel","Ailuropoda","Ursidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Chromosome",2689500000,TRUE,FALSE
"Suricata suricatta","Suricata suricatta","LEAST CONCERN",6,"Mammalia","37032","Viverra suricata","mSurSur","Suricata","Herpestidae","Carnivora","Mammalia",TRUE,NA,TRUE,6,18,"Chromosome",2738400000,TRUE,FALSE
"Crocuta crocuta","Crocuta crocuta","LEAST CONCERN",1,"Mammalia","9678","Crocuta thomasi","mCroCro","Crocuta","Hyaenidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Scaffold",2738400000,TRUE,FALSE
"Zalophus californianus","Zalophus californianus","LEAST CONCERN",2,"Mammalia","9704","Zalophus gilliespii","mZalCal","Zalophus","Otariidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Chromosome",3080700000,TRUE,TRUE
"Mustela lutreola novikovi","Mustela lutreola","CRITICALLY ENDANGERED",1,"Mammalia","9666","Mustela transsylvanica","mMusLut","Mustela","Mustelidae","Carnivora","Mammalia",FALSE,NA,TRUE,1,18,"Chromosome",2880210000,TRUE,TRUE
"Panthera tigris","Panthera tigris","ENDANGERED",2,"Mammalia","9694","Felis tigris","mPanTig","Panthera","Felidae","Carnivora","Mammalia",TRUE,NA,TRUE,2,18,"Chromosome",2650380000,TRUE,TRUE
"Pteronura brasiliensis","Pteronura brasiliensis","ENDANGERED",1,"Mammalia","9672","Mustela lutris brasiliensis","mPteBra","Pteronura","Mustelidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Scaffold",2880210000,TRUE,FALSE
"Panthera pardus","Panthera pardus","VULNERABLE",2,"Mammalia","9691","Panthera pardus","mPanPar","Panthera","Felidae","Carnivora","Mammalia",TRUE,NA,TRUE,2,18,"Scaffold",2767740000,TRUE,FALSE
"Leopardus pardalis","Leopardus pardalis","LEAST CONCERN",1,"Mammalia",NA,"Leopardus pardalis",NA,"Leopardus","Felidae","Carnivora","Mammalia",FALSE,NA,FALSE,1,18,"No Genome",NA,FALSE,FALSE
"Ailurus fulgens","Ailurus fulgens","ENDANGERED",5,"Mammalia",NA,"Ailurus fulgens",NA,"Ailurus","Ailuridae","Carnivora","Mammalia",TRUE,NA,TRUE,4,18,"No Genome",NA,TRUE,FALSE
"Ateles hybridus","Ateles hybridus","CRITICALLY ENDANGERED",8,"Mammalia","129801","Ateles hybridus brunneus","mAteHyb","Ateles","Atelidae","Primates","Mammalia",FALSE,NA,TRUE,7,24,"Scaffold",3166275000,TRUE,FALSE
"Lemur catta","Lemur catta","ENDANGERED",4,"Mammalia","9447","Maki mococo","mLemCat","Lemur","Lemuridae","Primates","Mammalia",TRUE,NA,TRUE,2,24,"Chromosome",3207840000,TRUE,FALSE
"Saguinus imperator subgrisescens","Saguinus imperator","LEAST CONCERN",3,"Mammalia","9491","Saguinus imperator","mSagImp","Saguinus","Cebidae","Primates","Mammalia",FALSE,NA,TRUE,3,24,"Scaffold",3378990000,TRUE,FALSE
"Pan troglodytes troglodytes","Pan troglodytes","ENDANGERED",9,"Mammalia","9598","Pan troglodytes","mPanTro","Pan","Hominidae","Primates","Mammalia",FALSE,NA,TRUE,9,24,"Chromosome",3613710000,TRUE,TRUE
"Cercocebus atys lunulatus","Cercocebus atys","ENDANGERED",6,"Mammalia","9531","Cercocebus fuliginosus","mCerAty","Cercocebus","Cercopithecidae","Primates","Mammalia",FALSE,NA,TRUE,3,24,"Scaffold",3657720000,TRUE,FALSE
"Pongo pygmaeus","Pongo pygmaeus","CRITICALLY ENDANGERED",3,"Mammalia","9600","Pongo pygmaeus fromageti","mPonPyg","Pongo","Hominidae","Primates","Mammalia",FALSE,NA,TRUE,3,24,"Chromosome",3579480000,TRUE,TRUE
"Mandrillus sphinx","Mandrillus sphinx","VULNERABLE",2,"Mammalia","9561","Simia madarogaster","mManSph","Mandrillus","Cercopithecidae","Primates","Mammalia",TRUE,NA,TRUE,2,24,"Contig",3423000000,TRUE,FALSE
"Eulemur fulvus","Eulemur fulvus","VULNERABLE",2,"Mammalia","13515","Eulemur fulvus fulvus","mEulFul","Eulemur","Lemuridae","Primates","Mammalia",TRUE,NA,TRUE,2,24,"Scaffold",3281190000,TRUE,FALSE
"Cercopithecus neglectus","Cercopithecus neglectus","LEAST CONCERN",1,"Mammalia","36227","Cercopithecus brazzae uellensis","mCerNeg","Cercopithecus","Cercopithecidae","Primates","Mammalia",TRUE,NA,TRUE,1,24,"Scaffold",4762860000,TRUE,FALSE
"Gorilla gorilla","Gorilla gorilla","CRITICALLY ENDANGERED",3,"Mammalia","9593","Gorilla gorilla","mGorGor","Gorilla","Hominidae","Primates","Mammalia",TRUE,NA,TRUE,2,24,"Chromosome",3491460000,TRUE,TRUE
"Mandrillus leucophaeus","Mandrillus leucophaeus","VULNERABLE",3,"Mammalia","9568","Mandrillus leucophaeus","mManLeu","Mandrillus","Cercopithecidae","Primates","Mammalia",TRUE,NA,TRUE,3,24,"Scaffold",3423000000,TRUE,FALSE
"Hylobates pileatus","Hylobates pileatus","ENDANGERED",1,"Mammalia","9589","Hylobates pileatus","mHylPil","Hylobates","Hylobatidae","Primates","Mammalia",FALSE,NA,TRUE,1,24,"Chromosome",3168720000,TRUE,FALSE
"Callithrix geoffroyi","Callithrix geoffroyi","LEAST CONCERN",1,"Mammalia","9483","Cebus albifrons","mCalJac","Callithrix","Cebidae","Primates","Mammalia",FALSE,"species",TRUE,1,24,"Chromosome",3354540000,TRUE,TRUE
"Saguinus oedipus","Saguinus oedipus","CRITICALLY ENDANGERED",3,"Mammalia",NA,"Oedipus titi",NA,"Saguinus","Cebidae","Primates","Mammalia",FALSE,NA,FALSE,3,24,"No Genome",NA,TRUE,FALSE
"Miopithecus ogouensis","Miopithecus ogouensis","NEAR THREATENED",2,"Mammalia","36231","Miopithecus ogouensis","mMioTal","Miopithecus","Cercopithecidae","Primates","Mammalia",FALSE,"species",TRUE,1,24,"Chromosome",3589260000,TRUE,FALSE
