cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person,fibros,vials_n2,pellet,micoplasma_test,DNA,comment
A434,1/9/2023,Cebulla pygmaea,Zoo Barcelona,QGH13-00725 Barcelona/11787,ear,"in culture, 2CT",alphamem,silvia,si,2P0 2P1,si,NA,NA,NA
A435,1/10/2023,Ramphastos toco,Zoo de Madrid,VMT19-40119/MADRID Z / TC7,skin,"in culture, 2CT",alphamem : FBM,silvia,si,4P0 2P1,si,NA,NA,NA
A437,1/12/2023,Cebulla pygmaea,Zoo Barcelona,QGH18-04995/Barcelona/13312,ear,in culture 1 CT,alphamem,silvia,si,2P0 2P1,si,negative,NA,NA
A439,1/27/2023,Panthera tigris,Zoo de Madrid,MIG12-29901177/ MADRID Z / TBL8,ovary/skin,"in culture 3 CT skin, 3 CT ovary",alphamem : FBM,sira,si,2P0 2P1 skin,si,negative,NA,NA
A440,1/27/2023,Pteronura brasiliensis,Zoo de Madrid,JQH12-04082/MADRID Z / NA5,uter/placenta/skin,in culture 3 CT uter,alphamem : FBM,sira,si,3 P0 skin,si,negative,NA,NA
A441,1/30/2023,Ara Ararauna,Zoo Barcelona,MIG12-28326023,traquea,"in culture, 2 CT",FBM,Silvia,si,2P0 2P1,NA,NA,NA,NA
A446,2/9/2023,Muntiacus reevesi,Zoo Madrid,WKP13-00240/MADRID Z / MU9,Piel,"in culture, 2 CT",alphamem,silvia,si,2 P0,si,NA,NA,NA
A448,2/28/2023,Potamoquero,Zoo Madrid,MIG12-28806138/MADRID Z / POT6,piel,"in culture, 2CT",alphamem,silvia,si,3P0,si,negative,NA,NA
A450 = A287,3/16/2023,Cercocebus torquatus,Zoo Barcelona,574123/barcelona 9381,skin,in culture,alphamem,Silvia,Si,1 P0,NA,negative,NA,NA
A452,3/24/2023,Dracaeana guianensis,Zoo Barcelona,17968157/Barcelona9399,traquea,"in culture, 2CT",FBM on gelatin and reptile medium on gelatin 28.5 C,Silvia,si,1P0,Si per dna,negative,NA,NA
A453,3/31/2023,Hystrix,Zoo Barcelona,17968565/barcelona6798,ear,"in culture, 4CT",DMEM,silvia,si,2 P0 2P1,si DNA y RNA,negative,NA,NA
A459,4/26/2023,Macropus rufogriseus,Sendaviva,CGM20-00275/PARQNATUR / 389,piel,"in culture, 1 CT",DMEM,cira,SI,2 P0,PELLET PARA DNA,NA,NA,NA
A460,4/26/2023,Mara,Sendaviva,-,piel,in culture,DMEM,cira,si,2P0,PELLET PARA DNA and RNA,NA,NA,NA
A461,5/23/2023,Pongo pygmaeus pygmaeus,Zoo Barcelona,QGH22-06066,ear,"in culture, 3 CT",DMEM,Silvia,si,2P0 2P1,Pellet para DNA and RNA,NA,NA,NA
