cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A14,20/02/2020,"""Macho""",BCN ZOO,QGH16-04155/12780,tissue,NA,NA,NA,NA,P2 (vials),NA,NA,NA,NA,NA
A15,27/02/2020,Zebra,BCN ZOO,QGH16-04155/12780,tissue,dissection directly on plate,NA,Armida,NA,P0 (1 vial),Pellet for DNA,NEGATIVE @P2,NA,NA,NA
A15,27/02/2020,Zebra,BCN ZOO,QGH16-04155/12780,tissue,NA,NA,NA,NA,P1 (5 vial),Pellet for RNA,NA,NA,NA,NA
A15,27/02/2020,Zebra,BCN ZOO,QGH16-04155/12780,tissue,NA,NA,NA,NA,P3 (4vial),NA,NA,NA,NA,NA
A16,6/5/2020,"Chimpanzee ""la vieja""",BCN ZOO,MIG12-30088851/BARCELONA / 11,tissue (oreja),dissection and freeze,NA,Armida,NA,P0 (2 vial),NA,NA,NA,NA,NA
A16,6/5/2020,"Chimpanzee ""la vieja""",BCN ZOO,MIG12-30088851/BARCELONA / 11,tissue (oreja),NA,NA,NA,NA,P1 (6 vials),Pellet for DNA,NA,NA,NA,NA
A16,6/5/2020,"Chimpanzee ""la vieja""",BCN ZOO,MIG12-30088851/BARCELONA / 11,tissue (oreja),NA,NA,NA,NA,P2(4vials),Pellet for RNA,NA,NA,NA,NA
A16,6/5/2020,"Chimpanzee ""la vieja""",BCN ZOO,MIG12-30088851/BARCELONA / 11,tissue (oreja),NA,NA,NA,NA,P3(2 vials),NA,NA,NA,NA,NA
A16,6/5/2020,"Chimpanzee ""la vieja""",BCN ZOO,MIG12-30088851/BARCELONA / 11,tissue (oreja),NA,NA,NA,NA,P4(2vials),NA,NA,NA,NA,NA
A17,25/05/2020,Triton,BCN ZOO,QGH20-05351-IA,tissue ( 1paw),dissection and freeze,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A18,12/6/2020,Gazela dorcas,BCN ZOO,MIG12-29435084/11047,tissue (oreja),dissection and freeze,NA,NA,NA,P0 (4 vials),Pellet for DNA,NA,NA,NA,NA
A18,12/6/2020,Gazela dorcas,BCN ZOO,MIG12-29435084/11047,tissue (oreja),NA,NA,NA,NA,P1(4vials),Pellet for RNA,NA,NA,NA,NA
A18,12/6/2020,Gazela dorcas,BCN ZOO,MIG12-29435084/11047,tissue (oreja),NA,NA,NA,NA,P2(4vials),NA,NA,NA,NA,NA
A18,12/6/2020,Gazela dorcas,BCN ZOO,MIG12-29435084/11047,tissue (oreja),NA,NA,NA,NA,P3(2vials),NA,NA,NA,NA,NA
A19,6/7/2020,Gazela dama mohor #13447,BCN ZOO,QGH19-05123/13447,Tissue (piel),dissection directly on plate,NA,Armida,NA,P1(6 vials),Pellet for DNA,NA,NA,NA,NA
A19,6/7/2020,Gazela dama mohor #13447,BCN ZOO,QGH19-05123/13447,Tissue (piel),NA,NA,NA,NA,P2(8vials),Pellet for RNA,NA,NA,NA,NA
A19,6/7/2020,Gazela dama mohor #13447,BCN ZOO,QGH19-05123/13447,Tissue (piel),NA,NA,NA,NA,P3(10vials),NA,NA,NA,NA,NA
A19,6/7/2020,Gazela dama mohor #13447,BCN ZOO,QGH19-05123/13447,Tissue (piel),NA,NA,NA,NA,P4 (4vials),NA,NA,NA,NA,NA
A20,6/7/2020,Gazela dama mohor,BCN ZOO,QGH19-05159/13483,Tissue (piel),dissection directly on plate,NA,Armida,TO REPEAT,NA,NA,NA,NA,NA,NA
A21,8/7/2020,Gazela Dorcas,BCN ZOO,MIG12-29435079/BARCELONA / 10606,Tissue (oreja),dissection directly on plate,NA,Armida,NA,Biopsia (4vials),Pellet for DNA,NA,NA,NA,NA
A21,8/7/2020,Gazela Dorcas,BCN ZOO,MIG12-29435079/BARCELONA / 10606,Tissue (oreja),NA,NA,NA,NA,P2 (6 vials),NA,NA,NA,NA,NA
A21,8/7/2020,Gazela Dorcas,BCN ZOO,MIG12-29435079/BARCELONA / 10606,Tissue (oreja),NA,NA,NA,NA,P3 (6 vials),NA,NA,NA,NA,NA
A22,8/7/2020,Scissirostrum Dubium,BCN ZOO,QGH16-04022/12687,Tissue (piel),dissection directly on plate,NA,Armida,tried to grown @37 not result,NA,NA,NA,NA,NA,NA
A23,7/10/2020,Lemur Catta,BCN ZOO,QGH13-00741,Tissue (piel),dissection directly on plate,NA,Armida,Contaminated to repeat!,TO REPEAT,NA,NA,NA,NA,NA
A24,7/10/2020,Otus Scops Scops,BCN ZOO,MIG12-28179259/8751,Tissue (piel),dissection directly on plate,NA,Armida,tried to grown @37 not result,NA,NA,NA,NA,NA,NA
A25,17/7/2020,Amazona Lilacina,BCN ZOO,MIG12-28179259/8751,Tissue (piel),dissection directly on plate,NA,Armida,tried to grown @37 not result,Fibros but not expanding. Try again,NA,NA,NA,NA,NA
A26,20/7/2020,Alytes Muletensis,BCN ZOO,MIG12-28179259/8751,Tissue (piel),dissection and freeze,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A27,20/7/2020,Lemur Catta,BCN ZOO,QGH20-05335,Tissue (piel),dissection directly on plate and freeze,NA,"Armida
",NA,P1 (4 vials),PD_1040,AL1448,QGH20-05335 ; BARCELONA / 13644,"Tomas, via BCN Zoo",CGL_38
A28,21/7/2020,Triton Del Montseny,BCN ZOO,QGH20-05351-IA,Tissue (paw),dissection and freeze,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A29,7/29/2020,Hippopotamus amphibus,BCN ZOO (frozen),QGH20-05351-IA,Heart from 2012,"dissection, in culture + more frozen",NA,Isa,necrotic-contaminated - tried 3 times,NA,NA,NA,NA,NA,NA
A30,7/29/2020,Suricata suricatta,BCN ZOO (frozen),QGH20-05351-IA,Spleen from 2012,"dissection, in culture + more frozen",NA,Armida,necrotic-contaminated - tried 3 times,NA,NA,NA,NA,NA,NA
