"scientific_name","species","iucn_category","superclass","genus","family","order","zoonomia","illumina","silencer"
"Rhea americana","Rhea americana","NEAR THREATENED","Birds","Rhea","Rheidae","Rheiformes",FALSE,TRUE,FALSE
"Apus apus","Apus apus","LEAST CONCERN","Birds","Apus","Apodidae","Apodiformes",FALSE,TRUE,FALSE
"Spheniscus demersus","Spheniscus demersus","ENDANGERED","Birds","Spheniscus","Spheniscidae","Sphenisciformes",FALSE,TRUE,FALSE
"Spheniscus humboldti","Spheniscus humboldti","VULNERABLE","Birds","Spheniscus","Spheniscidae","Sphenisciformes",FALSE,TRUE,FALSE
"Casuarius casuarius","Casuarius casuarius","LEAST CONCERN","Birds","Casuarius","Casuariidae","Casuariiformes",FALSE,TRUE,FALSE
"Ramphastos toco","Ramphastos toco","LEAST CONCERN","Birds","Ramphastos","Ramphastidae","Piciformes",FALSE,TRUE,FALSE
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","LEAST CONCERN","Birds","Haliaeetus","Accipitridae","Accipitriformes",FALSE,TRUE,FALSE
"Gallus gallus domestic","Gallus gallus","LEAST CONCERN","Birds","Gallus","Phasianidae","Galliformes",FALSE,TRUE,FALSE
"Pavo cristatus","Pavo cristatus","LEAST CONCERN","Birds","Pavo","Phasianidae","Galliformes",FALSE,TRUE,FALSE
"Psophia crepitans","Psophia crepitans","NEAR THREATENED","Birds","Psophia","Psophiidae","Gruiformes",FALSE,TRUE,FALSE
"Tyto alba","Tyto alba","LEAST CONCERN","Birds","Tyto","Tytonidae","Strigiformes",FALSE,TRUE,FALSE
"Lophura edwardsi","Lophura edwardsi","CRITICALLY ENDANGERED","Birds","Lophura","Phasianidae","Galliformes",FALSE,TRUE,FALSE
"Chauna torquata","Chauna torquata","LEAST CONCERN","Birds","Chauna","Anhimidae","Anseriformes",FALSE,TRUE,FALSE
"Cygnus atratus","Cygnus atratus","LEAST CONCERN","Birds","Cygnus","Anatidae","Anseriformes",FALSE,TRUE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax","LEAST CONCERN","Birds","Nycticorax","Ardeidae","Pelecaniformes",FALSE,TRUE,FALSE
"Threskiornis aethiopicus","Threskiornis aethiopicus","LEAST CONCERN","Birds","Threskiornis","Threskiornithidae","Pelecaniformes",FALSE,TRUE,FALSE
"Pelecanus crispus","Pelecanus crispus","VULNERABLE","Birds","Pelecanus","Pelecanidae","Pelecaniformes",FALSE,TRUE,FALSE
"Guaruba guarouba","Guaruba guarouba","VULNERABLE","Birds","Guaruba","Psittacidae","Psittaciformes",FALSE,TRUE,FALSE
"Eclectus roratus","Eclectus roratus","LEAST CONCERN","Birds","Eclectus","Psittacidae","Psittaciformes",FALSE,TRUE,FALSE
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus","VULNERABLE","Birds","Anodorhynchus","Psittacidae","Psittaciformes",FALSE,TRUE,FALSE
