"","scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","family","class","order","genome_match","species_genome","divergence_mya_adj","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","orders_num","alternative_name_","selected","top20"
"21","Capra hircus","Capra hircus",NA,NA,"-","NA",3,"F/M/F","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Capra_hircus","9925","African dwarf goats","mCapHir","Capra","Chordata","Metazoa","Eukaryota","Chromosome","SAMN02953816;SAMN03863711;SAMN10460883;SAMN14408556;SAMN20865798",87277232,NA,26244591,28911,2016-08-24,NA,NA,16643,3.240234375,3168720000,NA,NA,60,30,2,"PRJNA158393;PRJNA290100;PRJNA492932;PRJNA613503;PRJNA756446",NA,"insdc_open","goat","102.0",2016-08-29,2016-09-08,"Goat",9925,"ARS1","GCA_001704415.1","Full genebuild","Y","Y","Domestic goat","Bovidae","Mammalia","Artiodactyla","species","Capra hircus",0,NA,TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"22","Ovis aries musimon","Ovis aries","musimon",NA,NA,"NA",2,"F/F","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Ovis_aries","9940","Ovis laristanica","mOviAri","Ovis","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA104496890;SAMEA3146279;SAMN00116405;SAMN13678651;SAMN17088352;SAMN17575729;SAMN18719720;SAMN18719831;SAMN19573257;SAMN23102564;SAMN23392243;SAMN23421197;SAMN23436134;SAMN23438304;SAMN23482416;SAMN23486030;SAMN23487767;SAMN23488169;SAMN23488219;SAMN23488945;SAMN23489205;SAMN27682982;SAMN27685148",101274418,NA,43178051,33801,2021-02-03,NA,NA,16616,3.30078125,3227400000,NA,NA,54,27,2,"PRJEB3141;PRJEB7436;PRJNA169880;PRJNA412242;PRJNA414087;PRJNA597576;PRJNA675594;PRJNA685905;PRJNA721520;PRJNA721526;PRJNA744239;PRJNA744240;PRJNA745171;PRJNA780104;PRJNA782680;PRJNA783179;PRJNA783516;PRJNA783537;PRJNA784330;PRJNA784357;PRJNA784366;PRJNA784371;PRJNA784376;PRJNA784396;PRJNA784413;PRJNA788213;PRJNA788214;PRJNA788570;PRJNA788571;PRJNA788665;PRJNA788666;PRJNA788671;PRJNA788672;PRJNA788675;PRJNA788676;PRJNA788679;PRJNA788680;PRJNA788687;PRJNA788688;PRJNA788696;PRJNA788697;PRJNA788701;PRJNA788702;PRJNA788704;PRJNA788705;PRJNA788711;PRJNA788712;PRJNA791175;PRJNA791176;PRJNA791354;PRJNA791355;PRJNA791356;PRJNA791357;PRJNA791358;PRJNA791360;PRJNA791364;PRJNA791366;PRJNA791367;PRJNA791368;PRJNA791369;PRJNA791370;PRJNA797009;PRJNA829895;PRJNA830299;PRJNA830545;PRJNA830546;PRJNA830606;PRJNA830607;PRJNA832761;PRJNA839394;PRJNA945429",NA,"insdc_open","sheep","104.0",2021-06-18,2021-07-03,"Sheep",9940,"Oar_rambouillet_v1.0","GCA_002742125.1","Full genebuild","Y","-","Mouflon,Sheep","Bovidae","Mammalia","Artiodactyla","species","Ovis aries",0,NA,FALSE,TRUE,TRUE,2,2,2,0,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"23","Phacochoerus africanus","Phacochoerus africanus",NA,NA,"-","LEAST CONCERN",4,"M/F/F","Fibro",NA,NA,NA,NA,NA,"Tissue",NA,"Phacochoerus_africanus","41426","Sus africanus","mPhaAfr","Phacochoerus","Chordata","Metazoa","Eukaryota","Chromosome","SAMN15809474;SAMN17293408",141887063,NA,10602503,27929,2021-02-19,95.6,NA,16719,2.94921875,2885100000,NA,NA,34,17,2,"PRJNA656957;PRJNA691462",NA,"insdc_open","Common warthog","GCF_016906955.1-RS_2023_03",2023-03-03,2023-03-05,NA,NA,NA,NA,NA,NA,NA,"Warthog,Common warthog","Suidae","Mammalia","Artiodactyla","species","Phacochoerus africanus",0,NA,FALSE,TRUE,TRUE,4,4,4,0,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"24","Bison bonasus","Bison bonasus",NA,"Bovinae","-","NEAR THREATENED",3,"F/F/-","Fibro/PBMc","x","x",NA,NA,NA,"Blood/Tissue",NA,"Bison_bonasus","9901","Bison europaeus","mBisBis","Bison","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02947321",7192658,NA,19971,NA,2023-04-03,NA,NA,16319,4.8984375,4792200000,NA,NA,60,30,2,"PRJNA257088",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bison,European bison","Bovidae","Mammalia","Artiodactyla","genus","Bison bison",4.3,"species",FALSE,TRUE,FALSE,3,3,2,1,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"25","Corynorhinus townsendii","Corynorhinus townsendii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corynorhinus_townsendii","124745","Corynorhinus townsendii","mCorTow","Corynorhinus","Chordata","Metazoa","Eukaryota","Scaffold","SAMN31536067",177756282,NA,22150609,NA,2022-11-18,NA,NA,16438,2.353515625,2288520000,NA,NA,32,16,2,"CCGP;EBP;PRJNA765806;PRJNA777157;PRJNA896195;PRJNA896196",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Townsend's big-eared bat","Vespertilionidae","Mammalia","Chiroptera",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,2308,NA,NA,NA,NA,"not selected",NA
"26","Tolypeutes matacus","Tolypeutes matacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tolypeutes_matacus","183749","Tolypeutes matacus","mTolMat","Tolypeutes","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678115",12561802,NA,129379,NA,2022-12-12,NA,NA,16980,4.2109375,4117380000,NA,NA,62,30,2,"EBP;PRJNA399423;PRJNA682446;PRJNA781997;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chlamyphoridae","Mammalia","Cingulata",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,"not selected",NA
"27","Antechinus flavipes","Antechinus flavipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antechinus_flavipes","38775","Antechinus flavipes","mAntFla","Antechinus","Chordata","Metazoa","Eukaryota","Chromosome","SAMN16807749",636717922,NA,51843704,27226,2021-01-06,92.4,NA,17381,3.48046875,3403440000,NA,NA,14,7,2,"PRJNA565840",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellow-footed antechinus","Dasyuridae","Mammalia","Dasyuromorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,"not selected",NA
"28","Cynocephalus volans","Cynocephalus volans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cynocephalus_volans","110931","Galeopithecus rufus","mCynVol","Cynocephalus","Chordata","Metazoa","Eukaryota","Chromosome","SAMN32206947",165781880,NA,69195939,NA,2022-12-28,NA,NA,16748,3.55078125,3471900000,NA,NA,56,28,2,"EBP;PRJNA911844;PRJNA911845;PRJNA913149;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippine flying lemur","Cynocephalidae","Mammalia","Dermoptera",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"not selected",NA
"29","Gracilinanus agilis","Gracilinanus agilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gracilinanus_agilis","191870","Gracilinanus agilis","mGraAgi","Gracilinanus","Chordata","Metazoa","Eukaryota","Chromosome","SAMN16807781",683521856,NA,73170,26561,2021-01-06,88.1,NA,16336,4.03125,3941340000,NA,NA,14,7,2,"PRJNA565840",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gracile mouse opossum","Didelphidae","Mammalia","Didelphimorphia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,"not selected",NA
"30","Potorous gilbertii","Potorous gilbertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Potorous_gilbertii","173936","Hypsiprymnus gilbertii","mPotGil","Potorous","Chordata","Metazoa","Eukaryota","Chromosome","SAMN21582258",557804701,NA,46323,NA,2023-02-17,NA,NA,16922,3.580078125,3501240000,NA,NA,12,6,2,"EBP;PRJNA512907;PRJNA944680",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilbert's potoroo","Potoroidae","Mammalia","Diprotodontia",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,"not selected",NA
