"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","family","order","class","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","genome_match","species_genome","divergence_mya_adj","...31","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Pelecanus crispus","Pelecanus crispus",NA,NA,"I","VULNERABLE",1,"M","Birds","Fibro",NA,"X",NA,NA,NA,"Trachea","Pelicanus crispus","Pelecanus_crispus","36300","Pelecanus crispus","bPelCri","Pelecanus","Pelecanidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02339887;SAMN35784560",43364,NA,21679,15587,"2014-05-09",88.7,NA,17561,1.3203125,1290960000,NA,NA,66,33,2,"EBP;PRJNA212901;PRJNA984931;PRJNA984932;PRJNA986544;VGP",NA,"insdc_open","Dalmatian pelican","100.0","2014/10/03 00:00:00","2014/10/06 00:00:00",NA,NA,NA,NA,NA,NA,NA,"Dalmatian pelican,Dalmatian Pelican","species","Pelecanus crispus",1e-4,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Pelecaniformes",FALSE
"Guaruba guarouba","Guaruba guarouba",NA,NA,"I","VULNERABLE",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea","Guaruba guarouba","Guaruba_guarouba","51906","Guaruba guarouba","bGuaGua","Guaruba","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN12165723",29847,NA,19329,NA,"2022-07-21",72.2,NA,17008,1.3671875,1339860000,NA,NA,70,35,2,"PRJNA551769",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species","Guaruba guarouba",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",FALSE
"Eclectus roratus","Eclectus roratus",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,NA,NA,"Tissue",NA,"Eclectus_roratus","176024","Eclectus roratus","bEclRor","Eclectus","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN11250500",28643,NA,17249,NA,"2022-07-21",66.9,NA,16842,1.58984375,1555020000,NA,NA,70,35,2,"PRJNA528951",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eclectus parrot","species","Eclectus roratus",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",FALSE
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,NA,"I","VULNERABLE",2,"M/M","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea",NA,"Anodorhynchus_hyacinthinus","51900","Anodorhynchus hyacinthinus","bAnoHya","Anodorhynchus","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN09689126",12605,NA,12520,NA,"2022-07-21",NA,NA,16991,1.349609375,1320300000,NA,NA,70,35,2,"PRJNA481562",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyacinth macaw","species","Anodorhynchus hyacinthinus",1e-4,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",FALSE
"Aratinga solstitialis","Aratinga solstitialis",NA,NA,"II","ENDANGERED",1,"-","Birds","Fibro",NA,NA,NA,NA,NA,"Tissue/Trachea",NA,"Aratinga_solstitialis","176015","Aratinga solstitialis","bAraSol","Aratinga","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMEA5743801;SAMN06181670",16980747,NA,236229,NA,"2019-11-14",NA,NA,16984,1.3701171875,1339860000,NA,NA,70,35,2,"PRJEB33153;PRJNA358718",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sun Parakeet,Sun parakeet","species","Aratinga solstitialis",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",TRUE
"Ara chloropterus","Ara chloropterus",NA,NA,"II","LEAST CONCERN",1,"F","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea",NA,"Ara_chloropterus","176013","Ara chloropterus","bAraChl","Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN11250489",19108,NA,4271,NA,"2022-11-27",NA,NA,16991,1.48046875,1447440000,NA,NA,68,35,2,"PRJNA528950",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red-and-green Macaw,Red-and-green macaw","species","Ara chloropterus",1e-4,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",FALSE
"Ara ararauna","Ara ararauna",NA,NA,"II","LEAST CONCERN",2,"M/U","Birds","Fibro",NA,"X",NA,NA,NA,"Trachea",NA,"Ara_ararauna","9226","Ara ararauna","bAraAra","Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Chromosome","SAMN10247388;SAMN27275165;SAMN33059336",110438430,NA,38811057,NA,"2023-02-24",NA,NA,16982,1.4501953125,1418100000,NA,NA,70,35,2,"EBP;PRJNA497082;PRJNA931362;PRJNA931363;PRJNA935292;VGP",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blue-and-yellow macaw","species","Ara ararauna",1e-4,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",TRUE
"Eos reticulata","Eos reticulata",NA,NA,"II","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,NA,NA,"Trachea",NA,"Eos_reticulata","1549147","Eos reticulata","bEosSem","Eos","Psittaculidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota","Scaffold","SAMN15314656",25275,NA,13006,NA,"2022-07-21",NA,NA,17908,1.330078125,1300740000,NA,NA,70,32,2,"PRJNA640354",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"genus","Eos semilarvata",1.78,NA,"species",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,7,"Both",1,1,1,"Psittaciformes",FALSE
"Procavia capensis","Procavia capensis",NA,NA,NA,"LEAST CONCERN",2,"F/U","Mammalia","Fibro",NA,"X","X",NA,NA,"Tissue",NA,"Procavia_capensis","9813","Hyrax capensis","mProCap","Procavia","Procaviidae","Hyracoidea","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN02894304",905827,NA,35792,NA,"2014-12-16",93.1,NA,16743,4.05859375,3970679999,NA,NA,54,27,2,"PRJNA13972;PRJNA167910;ZOONOMIA",NA,"published",NA,NA,NA,NA,"Hyrax",9813,"proCap1","-","Projection build","-","-","Rock hyrax","species","Procavia capensis",1e-4,NA,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,1,"Both",1,2,2,"Other",FALSE
"Myrmecophaga tridactyla","Myrmecophaga tridactyla",NA,NA,NA,"VULNERABLE",2,"U/F","Mammalia","Fibro",NA,NA,NA,NA,NA,"Fetal Sample",NA,"Myrmecophaga_tridactyla","71006","Tamandua tridactyla","mMyrTri","Myrmecophaga","Myrmecophagidae","Pilosa","Mammalia","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678098",41255,NA,36434,NA,"2019-01-16",NA,NA,16498,4.3203125,4224960000,NA,NA,60,30,2,"EBP;PRJNA399407;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Giant Anteater,Giant anteater","species","Myrmecophaga tridactyla",1e-4,NA,NA,TRUE,TRUE,TRUE,2,0,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
