"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Hystrix cristata","LEAST CONCERN","Mammalia","Mammalia","Hystrix",1,2,"Tissue","Scaffold",64768,3663832500,"species",FALSE
"Lutra lutra","NEAR THREATENED","Mammalia","Mammalia","Lutra",2,1,"tissue","Chromosome",149004807,2880210000,"species",FALSE
"Panthera leo","VULNERABLE","Mammalia","Mammalia","Panthera",9,8,"blood","Chromosome",147402474,2885100000,"species",TRUE
"Panthera onca","NEAR THREATENED","Mammalia","Mammalia","Panthera",4,4,"Tissue","Chromosome",132627732,2767740000,"species",TRUE
"Canis lupus","LEAST CONCERN","Mammalia","Mammalia","Canis",4,4,"Tissue/Blood","Chromosome",65778685,2748180000,"species",TRUE
"Mungos mungo","LEAST CONCERN","Mammalia","Mammalia","Mungos",1,1,"Tissue","Scaffold",236501,2738400000,"species",FALSE
"Ursus thibetanus","VULNERABLE","Mammalia","Mammalia","Ursus",1,1,"Tissue","Scaffold",26803000,2689500000,"species",FALSE
"Otaria byronia","LEAST CONCERN","Mammalia","Mammalia","Otaria",3,3,"Tissue","Scaffold",144693000,3080700000,"species",TRUE
"Ailuropoda melanoleuca","VULNERABLE","Mammalia","Mammalia","Ailuropoda",2,1,"Tissue","Chromosome",129245720,2689500000,"species",FALSE
"Suricata suricatta","LEAST CONCERN","Mammalia","Mammalia","Suricata",6,6,"Tissue","Chromosome",141453419,2738400000,"species",TRUE
"Crocuta crocuta","LEAST CONCERN","Mammalia","Mammalia","Crocuta",1,1,"Tissue","Scaffold",7236831,2738400000,"species",FALSE
"Zalophus californianus","LEAST CONCERN","Mammalia","Mammalia","Zalophus",2,1,"Tissue","Chromosome",147124152,3080700000,"species",FALSE
"Mustela lutreola novikovi","CRITICALLY ENDANGERED","Mammalia","Mammalia","Mustela",1,1,"Tissue","Chromosome",154078643,2880210000,"species",FALSE
"Panthera tigris","ENDANGERED","Mammalia","Mammalia","Panthera",2,2,"Tissue (ovary/skin)","Chromosome",146942463,2650380000,"species",FALSE
"Pteronura brasiliensis","ENDANGERED","Mammalia","Mammalia","Pteronura",1,1,"Tissue (uter/skin)","Scaffold",119023,2880210000,"species",FALSE
"Panthera pardus","VULNERABLE","Mammalia","Mammalia","Panthera",2,2,"Tissue","Scaffold",126810544,2767740000,"species",FALSE
"Ailurus fulgens","ENDANGERED","Mammalia","Mammalia","Ailurus",5,4,"Tissue",NA,NA,NA,NA,TRUE
"Ateles hybridus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Ateles",8,6,"Tissue/placenta","Scaffold",50515269,3166275000,"species",TRUE
"Lemur catta","ENDANGERED","Mammalia","Mammalia","Lemur",4,2,"Tissue (skin)","Chromosome",102162704,3207840000,"species",TRUE
"Saguinus imperator subgrisescens","LEAST CONCERN","Mammalia","Mammalia","Saguinus",3,3,"Tissue","Scaffold",65636,3378990000,"species",TRUE
"Pan troglodytes troglodytes","ENDANGERED","Mammalia","Mammalia","Pan",9,9,"Tissue/Blood","Chromosome",144388002,3613710000,"species",TRUE
"Cercocebus atys lunulatus","ENDANGERED","Mammalia","Mammalia","Cercocebus",6,3,NA,"Scaffold",12849131,3657720000,"species",TRUE
"Pongo pygmaeus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Pongo",3,3,"Cell culture / Placenta/ombelical Cordon","Chromosome",140977933,3579480000,"species",TRUE
"Mandrillus sphinx","VULNERABLE","Mammalia","Mammalia","Mandrillus",2,2,"Tissue","Contig",20999372,3423000000,"species",FALSE
"Eulemur fulvus","VULNERABLE","Mammalia","Mammalia","Eulemur",2,2,"Tissue","Scaffold",22561,3281190000,"species",FALSE
"Cercopithecus neglectus","LEAST CONCERN","Mammalia","Mammalia","Cercopithecus",1,1,"Tissue","Scaffold",10270,4762860000,"species",FALSE
"Gorilla gorilla","CRITICALLY ENDANGERED","Mammalia","Mammalia","Gorilla",3,2,"Blood/Tissue","Chromosome",151559850,3491460000,"species",TRUE
"Mandrillus leucophaeus","VULNERABLE","Mammalia","Mammalia","Mandrillus",3,3,"Tissue","Scaffold",3186748,3423000000,"species",TRUE
"Hylobates pileatus","ENDANGERED","Mammalia","Mammalia","Hylobates",1,1,"Tissue","Chromosome",131825309,3168720000,"species",FALSE
"Callithrix geoffroyi","LEAST CONCERN","Mammalia","Mammalia","Callithrix",1,1,"Tissue","Chromosome",136971485,3354540000,"genus",FALSE
"Miopithecus ogouensis","NEAR THREATENED","Mammalia","Mammalia","Miopithecus",2,1,"Tissue","Chromosome",99916881,3589260000,"genus",FALSE
"Cercocebus torquatus","ENDANGERED","Mammalia","Mammalia","Cercocebus",2,2,"Tissue","Scaffold",12849131,3657720000,"genus",FALSE
"Papio cynocephalus","LEAST CONCERN","Mammalia","Mammalia","Papio",1,1,"Tissue","Chromosome",140274886,3457230000,"genus",FALSE
"Hylobates muelleri","ENDANGERED","Mammalia","Mammalia","Hylobates",1,1,"Tissue","Chromosome",131825309,3168720000,"genus",FALSE
"Cebuella pygmaea","VULNERABLE","Mammalia","Mammalia","Cebuella",4,4,"Tissue",NA,NA,NA,NA,TRUE
"Leontopithecus chrysomelas","ENDANGERED","Mammalia","Mammalia","Leontopithecus",1,1,"Tissue","Chromosome",121128971,3378990000,"genus",FALSE
"Hylobates lar","ENDANGERED","Mammalia","Mammalia","Hylobates",2,1,"Tissue","Chromosome",131825309,3168720000,"genus",FALSE
"Nanger dama","CRITICALLY ENDANGERED","Mammalia","Mammalia","Nanger",14,7,"blood/placenta/ombelical cord","Scaffold",37125998,3403440000,"species",TRUE
"Aepyceros melampus","LEAST CONCERN","Mammalia","Mammalia","Aepyceros",8,4,"Tissue (ear)","Scaffold",344542,4586820000,"species",TRUE
"Hexaprotodon liberiensis","ENDANGERED","Mammalia","Mammalia","Hexaprotodon",1,1,"Tissue (skin)","Chromosome",142594368,3041580000,"species",FALSE
"Oryx gazella","LEAST CONCERN","Mammalia","Mammalia","Oryx",1,1,"Tissue","Scaffold",1579191,3892440000,"species",FALSE
"Giraffa camelopardalis","VULNERABLE","Mammalia","Mammalia","Giraffa",2,2,NA,"Scaffold",3153258,2709060000,"species",FALSE
"Lama guanicoe","LEAST CONCERN","Mammalia","Mammalia","Lama",3,2,NA,"Scaffold",14786206,3139380000,"species",TRUE
"Connochaetes taurinus","LEAST CONCERN","Mammalia","Mammalia","Connochaetes",1,1,NA,"Scaffold",366224,3853320000,"species",FALSE
"Camelus bactrianus","CRITICALLY ENDANGERED","Mammalia","Mammalia","Camelus",2,2,"Tissue","Scaffold",8812066,2577030000,"species",FALSE
"Tragelaphus eurycerus","NEAR THREATENED","Mammalia","Mammalia","Tragelaphus",2,1,"Tissue","Contig",21206903,3853320000,"species",FALSE
"Sus scrofa","LEAST CONCERN","Mammalia","Mammalia","Sus",1,1,"Tissue","Chromosome",88231837,2885100000,"species",FALSE
"Oryx dammah","EXTINCT IN THE WILD","Mammalia","Mammalia","Oryx",3,2,"Tissue","Scaffold",100398400,3892440000,"species",TRUE
"Rangifer tarandus","VULNERABLE","Mammalia","Mammalia","Rangifer",3,3,"Tissue/ovaries","Scaffold",986392,3334980000,"species",TRUE
"Capra hircus","NA","Mammalia","Mammalia","Capra",3,2,"Tissue","Chromosome",87277232,3168720000,"species",TRUE
"Elaphurus davidianus","EXTINCT IN THE WILD","Mammalia","Mammalia","Elaphurus",4,4,"Tissue (ear)","Scaffold",3039716,3168720000,"species",TRUE
"Beatragus hunteri","CRITICALLY ENDANGERED","Mammalia","Mammalia","Beatragus",1,1,"Tissue","Scaffold",69303,3853320000,"species",FALSE
"Bos grunniens","VULNERABLE","Mammalia","Mammalia","Bos",2,2,"Tissue","Chromosome",114386978,3569700000,"species",FALSE
"Ovis aries musimon","NA","Mammalia","Mammalia","Ovis",3,3,"Tissue","Chromosome",101274418,3227400000,"species",TRUE
"Bison bison","NEAR THREATENED","Mammalia","Mammalia","Bison",3,1,"Tissue","Scaffold",7192658,4792200000,"species",FALSE
"Hippopotamus amphibius","VULNERABLE","Mammalia","Mammalia","Hippopotamus",1,1,"Tissue","Chromosome",141669128,3041580000,"species",FALSE
"Tursiops truncatus","LEAST CONCERN","Mammalia","Mammalia","Tursiops",1,1,"Tissue","Chromosome",108430135,3080700000,"species",FALSE
"Delphinapterus leucas","LEAST CONCERN","Mammalia","Mammalia","Delphinapterus",1,1,"Tissue","Scaffold",31183418,3217620000,"species",FALSE
"Megaptera novaeangliae","LEAST CONCERN","Mammalia","Mammalia","Megaptera",1,1,"Tissue","Scaffold",9138802,2865540000,"species",FALSE
"Delphinus delphis","LEAST CONCERN","Mammalia","Mammalia","Delphinus",1,1,"Tissue","Chromosome",108933991,3080700000,"species",FALSE
"Muntiacus reevesi","LEAST CONCERN","Mammalia","Mammalia","Muntiacus",1,1,NA,"Chromosome",113316579,2924220000,"species",FALSE
"Phacochoerus africanus","LEAST CONCERN","Mammalia","Mammalia","Phacochoerus",4,4,"Tissue","Chromosome",141887063,2885100000,"species",TRUE
"Tragelaphus spekii","LEAST CONCERN","Mammalia","Mammalia","Tragelaphus",2,1,"Tissue (placenta/ombelical cordon)","Contig",21206903,3853320000,"genus",FALSE
"Bison bonasus","NEAR THREATENED","Mammalia","Mammalia","Bison",3,2,"Blood/Tissue","Scaffold",7192658,4792200000,"genus",TRUE
"Connochaetes gnou","LEAST CONCERN","Mammalia","Mammalia","Connochaetes",1,1,"Tissue","Scaffold",366224,3853320000,"genus",FALSE
"Axis axis","LEAST CONCERN","Mammalia","Mammalia","Axis",1,1,"Tissue","Scaffold",20764858,3168720000,"genus",FALSE
"Capra pyrenaica hispanica","LEAST CONCERN","Mammalia","Mammalia","Capra",1,1,"Tissue","Chromosome",91317560,3163830000,"genus",FALSE
