"","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","sample_id","link","dna","karyo","rna","iPSC2","seq"
"59","Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,"Hyacinth macaw","Psittacidae","QGH22-06100-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A337",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Ano_Hya","Ano_Hya_2",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"60","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","MIG12-29591016","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A49",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","Aga_Nig_1","https://www.iucnredlist.org/species/22685360/93069915",FALSE,FALSE,FALSE,FALSE,FALSE
"61","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","DKL17-04749/ BARCELONA / 13256","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A388",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","Aga_Nig_2","https://www.gbif.org/species/2479545",FALSE,FALSE,FALSE,FALSE,FALSE
"62","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06204-IA/27","-","U","Primary",NA,NA,NA,NA,NA,"A401",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","Aga_Nig_3",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"63","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06205-IA/28","-","U","Primary",NA,NA,NA,NA,NA,"A402",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","Aga_Nig_4",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"64","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06225-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A415",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","Aga_Nig_5",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"65","Aratinga solstitialis","Aratinga solstitialis",NA,"Sun Parakeet","Psittacidae",NA,NA,NA,"Fibro",NA,NA,NA,NA,NA,"A185",NA,NA,NA,"EN","Birds",TRUE,FALSE,"Ara_Sol","Ara_Sol_1","https://www.iucnredlist.org/species/62233372/95192947",FALSE,FALSE,FALSE,FALSE,FALSE
"66","Eos reticulata","Eos reticulata",NA,"Blue-streaked lory","Psittacidae","27181800/BARCELONA / 10564","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A354",NA,NA,NA,"NT","Birds",TRUE,FALSE,"Eos_Ret","Eos_Ret_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"67","Ara chloropterus","Ara chloropterus",NA,"Red-and-green Macaw","Psittacidae","25767166/BARCELONA / 7344","UNKNOWN","M","Fibro",NA,NA,NA,NA,NA,"A362",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Ara_Chl","Ara_Chl_1","https://www.iucnredlist.org/species/22685566/163776409",FALSE,FALSE,FALSE,FALSE,FALSE
"68","Amazona aestiva","Amazona aestiva",NA,"Blue-fronted amazon","Psittacidae","MIG12-28842346","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A367",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Ama_Aes","Ama_Aes_1",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"69","Amazona brasiliensis","Amazona brasiliensis",NA,"Red-tailed amazon","Psittacidae","MIG12-21379186/BARCELONA / 10462","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A383",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Ama_Bra","Ama_Bra_1","https://www.iucnredlist.org/species/22686296/118478685",FALSE,FALSE,FALSE,FALSE,FALSE
