"taxon_id","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","TOGA","common_name","alternative_name","subspecies","genus","subfamily","family","project"
"8364","Xenopus tropicalis","Anura","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Skin/liver/heart/muscle/eye","species","Xenopus tropicalis","Chromosome",153961319,14634335,25015,"2019-11-14",88.5,1701720000,10,2,"insdc_open","toga1/2","Tropical Clawed Frog,Western clawed frog;tropical clawed frog",NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"8354","Xenopus borealis","Anura","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Eye / Heart / Muscle / Skin / Liver","species","Xenopus borealis","Chromosome",143989302,21213,NA,"2022-07-22",NA,3481680000,18,4,"insdc_open","toga1/2","Marsabit Clawed Frog,Clawed frog;Kenyan clawed frog",NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"8351","Discoglossus pictus","Anura","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Fingertips/Tail","species","Discoglossus pictus","Chromosome",453717995,3043591,NA,"2022-12-28",NA,5134500000,14,4,"insdc_open","toga1/2","Painted Frog,Painted frog;painted frog",NA,NA,"Discoglossus",NA,"Alytidae","tetrapod"
"375434","Leptodactylus fallax","Anura","Amphibia","Amphibia","CRITICALLY ENDANGERED",TRUE,TRUE,FALSE,1,1,1,0,0,"Muscle / skin / heart","species","Leptodactylus fallax","Scaffold",4630249,4630249,NA,"2022-10-08",NA,3141825000,11,4,"insdc_open","toga1/2","Mountain Chicken,mountain chicken frog",NA,NA,"Leptodactylus",NA,"Leptodactylidae","tetrapod"
"97955","Alytes muletensis","Anura","Amphibia","Amphibia","ENDANGERED",FALSE,TRUE,FALSE,4,0,0,0,0,"Tissue (skin)","family","Discoglossus pictus","Chromosome",453717995,3043591,NA,"2022-12-28",NA,8058720000,14,4,"insdc_open","toga1/2",NA,NA,NA,"Alytes",NA,"Alytidae","tetrapod"
"288514","Xenopus longipes","Anura","Amphibia","Amphibia","CRITICALLY ENDANGERED",FALSE,TRUE,FALSE,1,0,0,0,0,"Skin/liver/heart","genus","Xenopus petersii","Chromosome",160347489,15294995,NA,"2024-04-29",NA,3542805000,54,12,"insdc_open","toga1/2",NA,NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"288535","Xenopus allofraseri","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,1,0,0,"Skin/liver/heart/muscle","genus","Xenopus petersii","Chromosome",160347489,15294995,NA,"2024-04-29",NA,3542805000,18,4,"insdc_open","toga1/2",NA,NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"288550","Xenopus boumbaensis","Anura","Amphibia","Amphibia","NEAR THREATENED",FALSE,TRUE,FALSE,1,0,1,0,0,"Skin/liver/heart/muscle/lung","genus","Xenopus petersii","Chromosome",160347489,15294995,NA,"2024-04-29",NA,3542805000,72,8,"insdc_open","toga1/2",NA,NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"655841","Bufo spinosus","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,2,0,0,0,0,"Tissue (skin)","genus","Bufo bufo","Chromosome",635713434,3959750,NA,"2021-01-28",90.1,6000030000,11,3,"insdc_open","toga1/2",NA,NA,NA,"Bufo",NA,"Bufonidae","tetrapod"
"168099","Rana pyrenaica","Anura","Amphibia","Amphibia","ENDANGERED",FALSE,TRUE,FALSE,1,0,0,0,0,"Whole specimen","genus","Rana muscosa","Chromosome",938497014,4644276,NA,"2023-03-14",NA,5222520000,13,3,"insdc_open","toga1/2",NA,NA,NA,"Rana",NA,"Ranidae","tetrapod"
"105427","Xenopus muelleri","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Eye / Heart / Muscle / Skin / Liver","genus","Xenopus petersii","Chromosome",160347489,15294995,NA,"2024-04-29",NA,3603930000,18,4,"insdc_open","toga1/2","Müller's Clawed Toad,Mueller's clawed frog",NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"451448","Xenopus fischbergi","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,"Eye / Heart / Muscle / Skin / Liver","genus","Xenopus petersii","Chromosome",160347489,15294995,NA,"2024-04-29",NA,3542805000,18,4,"insdc_open","toga1/2",NA,NA,NA,"Xenopus",NA,"Pipidae","tetrapod"
"30326","Epidalea calamita","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,1,1,1,0,0,"Fingertips","family","Anaxyrus boreas","Scaffold",646048006,2844713,NA,"2024-08-22",NA,4166280000,11,3,"insdc_open","toga1/2","Natterjack Toad,Natterjack toad;Toad, Natterjack;Natterjack Toad",NA,NA,"Epidalea",NA,"Bufonidae","tetrapod"
"272192","Hyla meridionalis","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,2,1,1,0,0,"Fingertips","genus","Hyla sarda","Chromosome",384967061,3809262,NA,"2023-04-07",NA,4312979999,12,3,"insdc_open","toga1/2",NA,NA,NA,"Hyla",NA,"Hylidae","tetrapod"
"43542","Pelodytes punctatus","Anura","Amphibia","Amphibia","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Fingertips","genus","Pelodytes ibericus","Chromosome",222280400,19137354,NA,"2024-01-26",NA,2386320000,12,4,"insdc_open","toga1/2","Pelodytes punctatus,Parsley frog",NA,NA,"Pelodytes",NA,"Pelodytidae","tetrapod"
"8403","Pelophylax perezi","Anura","Amphibia","Amphibia","LEAST CONCERN",FALSE,TRUE,FALSE,2,1,1,0,0,"Larva","genus","Pelophylax lessonae","Chromosome",677924506,3786355,NA,"2025-02-11",91.7,6288540000,13,2,"insdc_open","toga1/2",NA,NA,NA,"Pelophylax",NA,"Ranidae","tetrapod"
"84099","Paleosuchus palpebrosus","Crocodylia",NA,"Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Trachea","species","Paleosuchus palpebrosus","Scaffold",275,274,NA,"2025-02-04",NA,3290970000,21,2,"insdc_open","toga1/2","Dwarf caiman,Cuvier's dwarf caiman",NA,NA,"Paleosuchus","Caimaninae","Alligatoridae","tetrapod"
