"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Rhea americana","NEAR THREATENED","Birds","Aves","Rhea",2,2,"Trachea/Skin","Scaffold",3949999,1555020000,"species",FALSE
"Apus apus","LEAST CONCERN","Birds","Aves","Apus",1,1,NA,"Chromosome",115508478,1251840000,"species",TRUE
"Bucorvus leadbeateri","VULNERABLE","Birds","Aves","Bucorvus",1,1,"Trachea","Chromosome",40451533,1398540000,"species",FALSE
"Falco naumanni","LEAST CONCERN","Birds","Aves","Falco",2,1,"Tissue/Trachea","Chromosome",91761059,1403430000,"species",TRUE
"Ramphastos toco","LEAST CONCERN","Birds","Aves","Ramphastos",1,1,"Tissue","Scaffold",32078995,1760400000,"species",FALSE
"Spheniscus demersus","ENDANGERED","Birds","Aves","Spheniscus",3,2,"Tissue","Chromosome",88319617,1594140000,"species",FALSE
"Spheniscus humboldti","VULNERABLE","Birds","Aves","Spheniscus",6,2,"Tissue","Chromosome",89079306,1594140000,"species",FALSE
"Casuarius casuarius","LEAST CONCERN","Birds","Aves","Casuarius",1,1,"Trachea/Skin","Scaffold",3704890,1555020000,"species",FALSE
"Phoenicopterus ruber","LEAST CONCERN","Birds","Aves","Phoenicopterus",4,1,"Trachea","Chromosome",85472901,1354530000,"species",FALSE
"Sarcoramphus papa","LEAST CONCERN","Birds","Aves","Sarcoramphus",1,1,"Skin/traquea","Chromosome",96420541,1476780000,"species",TRUE
"Psophia crepitans","NEAR THREATENED","Birds","Aves","Psophia",1,1,"Tissue","Scaffold",468890,1405875000,"species",FALSE
"Haliaeetus leucocephalus","LEAST CONCERN","Birds","Aves","Haliaeetus",1,1,"Tissue","Scaffold",9145499,1398540000,"species",FALSE
"Otus scops scops","LEAST CONCERN","Birds","Aves","Otus",5,1,"Tissue (skin)","Scaffold",86908813,1369200000,"species",FALSE
"Tyto alba","LEAST CONCERN","Birds","Aves","Tyto",1,1,"Tissue","Scaffold",36032128,1594140000,"species",FALSE
"Tauraco erythrolophus","LEAST CONCERN","Birds","Aves","Tauraco",2,1,"Trachea","Scaffold",56334,1391205000,"species",FALSE
"Gallus gallus domestic","LEAST CONCERN","Birds","Aves","Gallus",1,1,"Tissue","Chromosome",90861225,1237170000,"species",TRUE
"Pavo cristatus","LEAST CONCERN","Birds","Aves","Pavo",3,3,"Trachea/Skin","Chromosome",94977930,1310520000,"species",TRUE
"Musophaga violacea","LEAST CONCERN","Birds","Aves","Musophaga",1,1,"Trachea","Scaffold",72826144,1391205000,"family",FALSE
"Tauraco schalowi","LEAST CONCERN","Birds","Aves","Tauraco",1,1,"Trachea","Scaffold",72826144,1391205000,"genus",FALSE
"Lophura edwardsi","CRITICALLY ENDANGERED","Birds","Aves","Lophura",1,1,"Trachea","Chromosome",61385513,1237170000,"genus",FALSE
"Netta peposaca","LEAST CONCERN","Birds","Aves","Netta",1,1,"Tissue (trachea)","Scaffold",75817134,1349640000,"species",FALSE
"Anas platyrhynchos","LEAST CONCERN","Birds","Aves","Anas",1,1,NA,"Complete Genome",80154792,1418100000,"species",FALSE
"Netta rufina","LEAST CONCERN","Birds","Aves","Netta",1,1,"Tissue","Chromosome",77261329,1349640000,"species",FALSE
"Chauna torquata","LEAST CONCERN","Birds","Aves","Chauna",1,1,"Trachea","Scaffold",81945454,1364310000,"species",FALSE
"Cygnus atratus","LEAST CONCERN","Birds","Aves","Cygnus",1,1,"Trachea/Tissue","Chromosome",84552148,1418100000,"species",FALSE
"Streptopelia decaocto","LEAST CONCERN","Birds","Aves","Streptopelia",1,1,"Tissue","Chromosome",78754139,1290960000,"species",FALSE
"Caloenas nicobarica","NEAR THREATENED","Birds","Aves","Caloenas",2,1,"Trachea","Chromosome",79699707,1506120000,"species",FALSE
"Nycticorax nycticorax","LEAST CONCERN","Birds","Aves","Nycticorax",8,2,"Tissue","Scaffold",3016563,1320300000,"species",FALSE
"Platalea leucorodia","LEAST CONCERN","Birds","Aves","Platalea",4,1,NA,"Chromosome",94714899,1222500000,"species",TRUE
"Plegadis falcinellus","LEAST CONCERN","Birds","Aves","Plegadis",4,1,NA,"Scaffold",50846,1222500000,"species",FALSE
"Eudocimus ruber","LEAST CONCERN","Birds","Aves","Eudocimus",2,2,"Tissue/Trachea","Scaffold",101016769,1222500000,"species",TRUE
"Threskiornis aethiopicus","LEAST CONCERN","Birds","Aves","Threskiornis",1,1,"Tissue/Trachea","Scaffold",90113662,1222500000,"species",TRUE
"Pelecanus crispus","NEAR THREATENED","Birds","Aves","Pelecanus",1,1,"Trachea","Chromosome",86807213,1290960000,"species",FALSE
"Cyanocorax yncas","LEAST CONCERN","Birds","Aves","Cyanocorax",1,1,"Trachea","Contig",13535775,1232280000,"genus",FALSE
"Copsychus malabaricus","LEAST CONCERN","Birds","Aves","Copsychus",3,1,"Trachea","Scaffold",11085488,1278735000,"genus",FALSE
"Guaruba guarouba","VULNERABLE","Birds","Aves","Guaruba",1,1,"Trachea","Chromosome",109727540,1339860000,"species",TRUE
"Trichoglossus moluccanus","LEAST CONCERN","Birds","Aves","Trichoglossus",2,1,"Tissue","Scaffold",72769352,1300740000,"species",FALSE
"Eclectus roratus","LEAST CONCERN","Birds","Aves","Eclectus",1,1,"Tissue","Scaffold",28643,1555020000,"species",FALSE
"Anodorhynchus hyacinthinus","VULNERABLE","Birds","Aves","Anodorhynchus",2,1,"Trachea","Scaffold",12605,1320300000,"species",FALSE
"Amazona autumnalis","CRITICALLY ENDANGERED","Birds","Aves","Amazona",3,1,"Tissue (skin)","Scaffold",17050,1476780000,"species",FALSE
"Agapornis nigrigenis","VULNERABLE","Birds","Aves","Agapornis",6,2,NA,"Scaffold",81463,1281180000,"species",FALSE
"Aratinga solstitialis","ENDANGERED","Birds","Aves","Aratinga",1,1,"Tissue/Trachea","Scaffold",16980747,1339860000,"species",FALSE
"Ara chloropterus","LEAST CONCERN","Birds","Aves","Ara",1,1,"Trachea","Scaffold",19108,1447440000,"species",FALSE
"Ara ararauna","LEAST CONCERN","Birds","Aves","Ara",2,1,"Trachea","Chromosome",110438430,1418100000,"species",TRUE
"Ara rubrogenys","CRITICALLY ENDANGERED","Birds","Aves","Ara",1,1,NA,"Scaffold",46382249,1374090000,"species",FALSE
"Eos reticulata","NEAR THREATENED","Birds","Aves","Eos",1,1,"Trachea","Scaffold",25275,1300740000,"genus",FALSE
"Procavia capensis","LEAST CONCERN","Mammalia","Mammalia","Procavia",2,2,"Tissue","Scaffold",905827,3970679999,"species",FALSE
"Oryctolagus cuniculus","ENDANGERED","Mammalia","Mammalia","Oryctolagus",1,1,"Tissue","Chromosome",144279705,3188280000,"species",FALSE
"Oryctolagus cuniculus ibicea","NA","Mammalia","Mammalia","Oryctolagus",1,1,"Tissue","Chromosome",144279705,3188280000,"species",FALSE
