"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","c_value","genome_size","genome_size_draft","contig_n50","gene_count","assembly_date","assembly_level","assembly_span","scaffold_n50","busco_completeness","chromosome_number","haploid_number","ploidy","sequencing_status","published","TOGA","common_name","genome_match","species_genome","divergence_mya_adj","taxon_id_ref","status","precomputed_age","adjusted_age","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2"
"Panthera leo","Panthera leo",NA,"Pantherinae","II","VULNERABLE",9,"F/M/F/F/F/F/F","Mammalia","Fibro","X","X","X","X","X",NA,"blood",NA,"Panthera_leo","9689","Felis leo;Leo leo;Felis imperialis",NA,NA,NA,NA,NA,"Panthera","Felidae","Carnivora","Mammalia","Chordata","Metazoa",NA,2.94921875,2885100000,NA,77781637,NA,"2021-05-13","Chromosome",2297552363,147402474,NA,38,19,2,"insdc_open",NA,"toga2","Lion,African lion;lion","species","Panthera leo",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,8,9,9,0,0,TRUE,19,"Both",1,9,2,"Carnivora"
"Nanger dama mhorr","Nanger dama","mhorr","Antilopinae","I","CRITICALLY ENDANGERED",20,"F/F/F/F/F/F/F/F/M/M/U/F/F/U/F/F","Mammalia","Fibro","X","X","X","X","X",NA,"blood/placenta/ombelical cord","Nanger Dama","Nanger_dama","67940","Gazella dama;Antilope dama",NA,NA,NA,NA,NA,"Nanger","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa",NA,3.48046875,3403440000,NA,37125998,NA,"2021-11-18","Scaffold",2695171530,37125998,NA,37,15,2,"insdc_open",NA,"toga1/2","Dama Gazelle,Dama gazelle","species","Nanger dama",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,21,10,10,0,0,TRUE,34,"Both",1,10,2,"Artiodactyla"
"Pan troglodytes troglodytes","Pan troglodytes","troglodytes",NA,"I","ENDANGERED",9,"F/F/F/F/F/?/F/F/M","Mammalia","Fibro","X","X","X","X","X","X","Tissue/Blood",NA,"Pan_troglodytes","9598","Simia troglodytes",NA,NA,NA,NA,NA,"Pan","Hominidae","Primates","Mammalia","Chordata","Metazoa",NA,3.6953125,3613710000,NA,146288486,55892,"2024-12-09","Chromosome",3177739762,146288486,91.5,48,24,2,"insdc_open",NA,"not_in_toga","Central chimpanzee,Chimpanzee;chimpanzee","species","Pan troglodytes",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,9,10,10,0,2,TRUE,26,"Both",1,10,2,"Primates"
"Apus apus","Apus apus",NA,NA,"?","LEAST CONCERN",1,NA,"Birds","Fibro",NA,NA,NA,NA,NA,NA,NA,NA,"Apus_apus","8895","Hirundo apus;Cypselus apus",NA,NA,NA,NA,NA,"Apus","Apodidae","Apodiformes","Aves","Chordata","Metazoa",NA,1.2802734375,1251840000,NA,25561769,NA,"2021-11-04","Chromosome",1100361224,115508478,NA,78,39,2,"insdc_open",NA,"toga2","Common swift,Swift;Common Swift;common swift","species","Apus apus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,1,"Both",1,1,1,"Other"
"Ara ararauna","Ara ararauna",NA,NA,"II","LEAST CONCERN",2,"M/U","Birds","Fibro",NA,"X",NA,"x",NA,NA,"Trachea",NA,"Ara_ararauna","9226","Psittacus ararauna",NA,NA,NA,NA,NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.4501953125,1418100000,NA,38811057,NA,"2023-02-24","Chromosome",1224360198,110438430,NA,70,35,2,"insdc_open",NA,"not_in_toga","Blue-and-yellow macaw,Blue-and-yellow macaw;blue-and-yellow macaw","species","Ara ararauna",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes"
"Guaruba guarouba","Guaruba guarouba",NA,NA,"I","VULNERABLE",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea","Guaruba guarouba","Guaruba_guarouba","51906","Aratinga guarouba;Psittacus guarouba;? guarouba",NA,NA,NA,NA,NA,"Guaruba","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.3671875,1339860000,NA,33341676,NA,"2024-12-02","Chromosome",1366127126,109727540,72.2,70,35,2,"insdc_open",NA,"not_in_toga",NA,"species","Guaruba guarouba",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes"
"Eudocimus ruber","Eudocimus ruber",NA,NA,"II","LEAST CONCERN",2,"M/M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue/Trachea",NA,"Eudocimus_ruber","335483","Scolopax rubra",NA,NA,NA,NA,NA,"Eudocimus","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,35096,NA,"2024-08-05","Scaffold",1216035411,101016769,NA,66,33,2,"insdc_open",NA,"toga1/2",NA,"species","Eudocimus ruber",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,3,2,2,0,0,TRUE,6,"Both",1,2,2,"Pelecaniformes"
"Sarcoramphus papa","Sarcoramphus papa",NA,NA,"III","LEAST CONCERN",1,"F","Birds","Fibro",NA,"x",NA,NA,NA,NA,"Skin/traquea",NA,"Sarcoramphus_papa","43583","Sarcorhamphus papa;Vultur papa",NA,NA,NA,NA,NA,"Sarcoramphus","Cathartidae","Accipitriformes","Aves","Chordata","Metazoa",NA,1.509765625,1476780000,NA,40899883,NA,"2024-04-04","Chromosome",1543931415,96420541,NA,80,40,2,"insdc_open",NA,"toga1/2","King Vulture,king vulture","species","Sarcoramphus papa",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other"
"Pavo cristatus","Pavo cristatus",NA,NA,"III","LEAST CONCERN",3,"U/U/F/M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea/Skin",NA,"Pavo_cristatus","9049",NA,NA,NA,NA,NA,NA,"Pavo","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,1.33984375,1310520000,NA,30501418,NA,"2024-12-06","Chromosome",1041763075,94977930,96.3,78,39,2,"insdc_open",NA,"not_in_toga","Indian Peafowl,Indian peafowl","species","Pavo cristatus",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,4,3,3,0,0,TRUE,3,"Both",1,3,2,"Galliformes"
"Platalea leucorodia","Platalea leucorodia",NA,NA,"II","LEAST CONCERN",4,"M/M/F/M","Birds","Fibro",NA,"X",NA,"x",NA,NA,NA,NA,"Platalea_leucorodia","257867",NA,NA,NA,NA,NA,NA,"Platalea","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,3299000,NA,"2025-03-04","Chromosome",1345825956,94714899,97.4,68,35,2,"insdc_open",NA,"toga1/2","Eurasian spoonbill,White spoonbill;Spoonbill;Eurasian Spoonbill;Eurasian spoonbill","species","Platalea leucorodia",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,6,"Both",1,1,1,"Pelecaniformes"
"Falco naumanni","Falco naumanni",NA,NA,"II","LEAST CONCERN",2,"F/F","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Tissue/Trachea",NA,"Falco_naumanni","148594","Cerchneis naumanni",NA,NA,NA,NA,NA,"Falco","Falconidae","Falconiformes","Aves","Chordata","Metazoa",NA,1.4345703125,1403430000,NA,13754753,NA,"2021-03-30","Chromosome",1215702009,91761059,97.1,52,26,2,"insdc_open",NA,"not_in_toga","Lesser Kestrel,Lesser Kestrel;lesser kestrel","species","Falco naumanni",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,2,0,1,0,0,TRUE,1,"Both",1,1,1,"Other"
"Gallus gallus domestic","Gallus gallus","domestic",NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Gallus_gallus","9031","Gallus gallus domesticus;Phasianus gallus",NA,NA,NA,NA,NA,"Gallus","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,1.2646484375,1237170000,NA,18834961,NA,"2021-10-01","Chromosome",1053315467,90861225,96.6,78,39,2,"insdc_open",NA,"toga2","Domestic chicken,Domestic chicken;chicken","species","Gallus gallus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Galliformes"
"Threskiornis aethiopicus","Threskiornis aethiopicus",NA,NA,NA,"LEAST CONCERN",1,"U","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue/Trachea",NA,"Threskiornis_aethiopicus","100858","Tantalus aethiopicus;Threskiornis aethiopica",NA,NA,NA,NA,NA,"Threskiornis","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,32973,NA,"2023-02-10","Scaffold",1200873515,90113662,NA,68,34,2,"insdc_open",NA,"toga1/2","Sacred ibis","species","Threskiornis aethiopicus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,1,1,"Pelecaniformes"
