"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x14","iucn","superclass","data","animal_id","individual_id","lines_per_individual","iPSC","status"
"Uromastyx acanthinura","Uromastyx acanthinura",NA,"North African Spiny-tailed Lizard","Agamidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A679",NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=52167&lvl=3&lin=f&keep=1&srchmode=1&unlock","NT","Reptiles",NA,"A679","I_A679",1,FALSE,FALSE
"Varanus prasinus","Varanus prasinus",NA,"Emerald monitor","Varanidae","BHG15-00445/BARCELONA / 12643","CAPTIVE","M","Fibro","DNA","WGS",NA,NA,NA,"A268",NA,"ABA20137",NA,"https://www.iucnredlist.org/species/42485751/101752115","LC","Reptiles",NA,"A268","I_A268",1,FALSE,TRUE
"Furcifer pardalis","Furcifer pardalis",NA,"Panther chameleon","Chamaeleonidae","TLJ22-01287/BIOPARCVA / C10","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A314",NA,NA,NA,"https://www.iucnredlist.org/species/172955/6947909","LC","Reptiles",NA,"A314","I_A314",1,FALSE,FALSE
"Furcifer pardalis","Furcifer pardalis",NA,"Panther chameleon","Chamaeleonidae","-","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A844",NA,NA,NA,NA,"LC","Reptiles",NA,"A844","I_A844",1,FALSE,FALSE
"Dracaena guianensis","Dracaena guianensis",NA,"Caiman lizard","Teiidae","17968157/Barcelona9399","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A452",NA,NA,NA,"https://www.iucnredlist.org/species/44579645/44579652","LC","Reptiles",NA,"A452","I_A452",1,FALSE,TRUE
"Eublepharis macularius","Eublepharis macularius",NA,"Leopard gecko","Eublepharidae",NA,"CAPTIVE","M","Primary","WGS",NA,NA,NA,NA,"A479",NA,"ABA23930",NA,"https://www.iucnredlist.org/species/164745/1072324","LC","Reptiles",NA,"A479","I_A479",1,FALSE,FALSE
"Python regius","Python regius",NA,"Python regius","Pythonidae","17963991","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A328",NA,NA,NA,"https://www.iucnredlist.org/species/177562/15340592","LC","Reptiles",NA,"A328","I_A328",1,FALSE,FALSE
"Python regius","Python regius",NA,"Python regius","Pythonidae","MIG12-28325971 / BARCELONA / 1005","WILD","F","Primary","WGS",NA,NA,NA,NA,"A578",NA,"ABA23931",NA,NA,"LC","Reptiles",NA,"A578","I_A578",1,FALSE,FALSE
"Python breitensteini","Python breitensteini",NA,"Bornean blood python","Pythonidae","15808636/Barcelona/7300","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A396",NA,NA,NA,NA,"LC","Reptiles",NA,"A396","I_A396",1,FALSE,FALSE
"Lampropeltis triangulum sinaloae","Lampropeltis triangulum","sinaloae","Sinaloan milksnake","Colubridae","17967337/BARCELONA / 8241","CAPTIVE","F","Primary","WGS",NA,NA,NA,NA,"A363",NA,"ABA23929",NA,"https://www.iucnredlist.org/species/197493/2490171","LC","Reptiles",NA,"A363","I_A363",1,FALSE,FALSE
"Lampropeltis pyromelana","Lampropeltis pyromelana",NA,"Sonoran mountain kingsnake","Colubridae","AP26-0041",NA,NA,"Fibro",NA,NA,NA,NA,NA,"A778",NA,NA,NA,NA,"LC","Reptiles",NA,"A778","I_A778",1,FALSE,TRUE
"Acrantophis dumerili","Acrantophis dumerili",NA,"Dumeril's ground boa","Boidae","QGH13-01358/BARCELONA / 12003","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A518",NA,NA,NA,"https://www.iucnredlist.org/species/282/13054798","LC","Reptiles",NA,"A518","I_A518",1,FALSE,FALSE
"Acrantophis dumerili","Acrantophis dumerili",NA,"Dumeril's ground boa","Boidae","QGH18-04916/: BARCELONA / 13226","CAPTIVE","U","Primary","WGS",NA,NA,NA,NA,"A550",NA,"ABA19318",NA,NA,"LC","Reptiles",NA,"A550","I_A550",1,FALSE,FALSE
"Malpolon monspessulanus","Malpolon monspessulanus",NA,"Western Montpellier Snake","Psammophiidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A546",NA,NA,NA,"https://www.iucnredlist.org/species/157262/5064665","LC","Reptiles",NA,"A546","I_A546",1,FALSE,FALSE
"Malpolon monspessulanus","Malpolon monspessulanus",NA,"Western Montpellier Snake","Psammophiidae","QGH20-05512/BARCELONA / 13789","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A721",NA,NA,NA,NA,"LC","Reptiles",NA,"A721","I_A721",1,FALSE,TRUE
"Malpolon monspessulanus","Malpolon monspessulanus",NA,"Western Montpellier Snake","Psammophiidae","MCNB","WILD",NA,"Primary",NA,NA,NA,NA,NA,"A836",NA,NA,NA,NA,"LC","Reptiles",NA,"A836","I_A836",1,FALSE,FALSE
"Malpolon monspessulanus","Malpolon monspessulanus",NA,"Western Montpellier Snake","Psammophiidae","MCNB","WILD",NA,"Primary",NA,NA,NA,NA,NA,"A817",NA,NA,NA,NA,"LC","Reptiles",NA,"A817","I_A817",1,FALSE,FALSE
"Macroprotodon mauritanicus","Macroprotodon mauritanicus",NA,"False Smooth Snake","Colubridae",NA,NA,NA,"Fibro","DNA","RNA",NA,NA,NA,"A545",NA,NA,NA,"https://www.iucnredlist.org/species/61533/204862390","LC","Reptiles",NA,"A545","I_A545",1,FALSE,TRUE
"Macroprotodon mauritanicus","Macroprotodon mauritanicus",NA,"False Smooth Snake","Colubridae","MCNB/CN 23559","WILD",NA,"Primary",NA,NA,NA,NA,NA,"A813",NA,NA,NA,NA,"LC","Reptiles",NA,"A813","I_A813",1,FALSE,FALSE
"Macroprotodon mauritanicus","Macroprotodon mauritanicus",NA,"False Smooth Snake","Colubridae","MCNB/CN23560","WILD",NA,"Primary",NA,NA,NA,NA,NA,"A814",NA,NA,NA,NA,"LC","Reptiles",NA,"A814","I_A814",1,FALSE,FALSE
"Hemorrhois hippocrepis","Hemorrhois hippocrepis",NA,"Horseshoe Whip Snake","Colubridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A547",NA,NA,NA,"https://www.iucnredlist.org/species/61509/12495496","LC","Reptiles",NA,"A547","I_A547",1,FALSE,FALSE
"Coronella girondica","Coronella girondica",NA,"Southern Smooth Snake","Colubridae","Tarragona",NA,NA,"Fibro","DNA","WGS",NA,NA,NA,"A563",NA,"ABA20101",NA,"https://www.iucnredlist.org/species/61491/86249650","LC","Reptiles",NA,"A563","I_A563",1,FALSE,TRUE
"Coronella girondica","Coronella girondica",NA,"Southern Smooth Snake","Colubridae","MCNB (23562)",NA,NA,"Primary",NA,NA,NA,NA,NA,"A806",NA,NA,NA,NA,"LC","Reptiles",NA,"A806","I_A806",1,FALSE,FALSE
"Coronella girondica","Coronella girondica",NA,"Southern Smooth Snake","Colubridae","MCNB(CN23563)",NA,NA,"Primary",NA,NA,NA,NA,NA,"A807",NA,NA,NA,NA,"LC","Reptiles",NA,"A807","I_A807",1,FALSE,FALSE
"Pantherophis guttatus","Pantherophis guttatus",NA,"Red Cornsnake","Colubridae","QGH15-02318/: BARCELONA / 12468","UNDETERMINED","U","Fibro","DNA","WGS",NA,NA,NA,"A564",NA,"ABA20109",NA,"https://www.iucnredlist.org/species/63863/71740603","LC","Reptiles",NA,"A564","I_A564",1,FALSE,TRUE
"Macroprotodon brevis","Macroprotodon brevis",NA,"Iberian False Smooth Snake","Colubridae","CN13589 Extremadura","UNDETERMINED","U","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A566",NA,"ABA20107","BB5631","https://www.iucnredlist.org/es/species/61532/12508324","NT","Reptiles",NA,"A566","I_A566",1,FALSE,TRUE
"Coronella austriaca","Coronella austriaca",NA,"Smooth Snake","Colubridae",NA,"UNDETERMINED","U","Primary","WGS",NA,NA,NA,NA,"A597",NA,"ABA20153",NA,"https://www.iucnredlist.org/species/157284/748852","LC","Reptiles",NA,"A597","I_A597",1,FALSE,FALSE
"Hierophis viridiflavus","Hierophis viridiflavus",NA,"Western Whip Snake","Colubridae",NA,"WILD","U","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A575",NA,"ABA20122","BB5632","https://www.iucnredlist.org/species/61449/137844938","LC","Reptiles",NA,"A575","I_A575",1,FALSE,TRUE
"Hierophis viridiflavus","Hierophis viridiflavus",NA,"Western Whip Snake","Colubridae","MCNB/CN23384",NA,"U","Primary",NA,NA,NA,NA,NA,"A804",NA,NA,NA,NA,"LC","Reptiles",NA,"A804","I_A804",1,FALSE,FALSE
"Natrix helvetica","Natrix helvetica",NA,"European Grass Snake","Natricidae",NA,"WILD","U","Primary",NA,NA,NA,NA,NA,"A576",NA,"ABA20151",NA,"https://www.iucnredlist.org/species/165594257/165594282","LC","Reptiles",NA,"A576","I_A576",1,FALSE,FALSE
"Natrix helvetica","Natrix helvetica",NA,"European Grass Snake","Natricidae","MCNB/CN23561",NA,"U","Primary",NA,NA,NA,NA,NA,"A805",NA,NA,NA,NA,"LC","Reptiles",NA,"A805","I_A805",1,FALSE,FALSE
"Natrix natrix","Natrix natrix",NA,"Grass Snake","Natricidae",NA,"WILD","U","Primary",NA,NA,NA,NA,NA,"A693",NA,NA,NA,"https://www.iucnredlist.org/species/165594334/545209","LC","Reptiles",NA,"A693","I_A693",1,FALSE,FALSE
"Natrix maura","Natrix maura",NA,"Viperine Snake","Natricidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A838",NA,NA,NA,"https://www.iucnredlist.org/species/61538/137854248","LC","Reptiles",NA,"A838","I_A838",1,FALSE,FALSE
