"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","c_value","genome_size","genome_size_draft","contig_n50","gene_count","assembly_date","assembly_level","assembly_span","scaffold_n50","busco_completeness","chromosome_number","haploid_number","ploidy","sequencing_status","published","TOGA","common_name","genome_match","species_genome","divergence_mya_adj","taxon_id_ref","status","precomputed_age","adjusted_age","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Ramphastos toco","Ramphastos toco",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"x",NA,NA,"Tissue",NA,"Ramphastos_toco","95723",NA,NA,NA,NA,NA,NA,"Ramphastos","Ramphastidae","Piciformes","Aves","Chordata","Metazoa",NA,1.7998046875,1760400000,NA,10117,NA,"2024-07-30","Scaffold",1283093693,32078995,NA,106,57,2,"insdc_open",NA,"toga1/2","Toco toucan,Toco toucan;toco toucan","species","Ramphastos toco",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Spheniscus demersus","Spheniscus demersus",NA,NA,"II","ENDANGERED",3,"M/F/F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Spheniscus_demersus","92683","Diomedea demersa",NA,NA,NA,NA,NA,"Spheniscus","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa",NA,1.6298828125,1594140000,NA,18147389,15881,"2025-06-17","Chromosome",1307516078,88319617,96,74,36,2,"insdc_open",NA,"not_in_toga","Jackass penguin,Jackass penguin;jackass penguin","species","Spheniscus demersus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,3,2,2,0,0,TRUE,2,"Both",1,2,2,"Other",FALSE
"Spheniscus humboldti","Spheniscus humboldti",NA,NA,"I","VULNERABLE",6,"M/U/M/F/M/F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Spheniscus_humboldti","9240",NA,NA,NA,NA,NA,NA,"Spheniscus","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa",NA,1.6298828125,1594140000,NA,13936613,16378,"2022-12-28","Chromosome",1358357718,89079306,97.5,78,39,2,"insdc_open",NA,"not_in_toga","Humboldt penguin,Humboldt's penguin","species","Spheniscus humboldti",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,7,2,2,0,0,TRUE,2,"Both",1,2,2,"Other",FALSE
"Casuarius casuarius","Casuarius casuarius",NA,NA,NA,"LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea/Skin",NA,"Casuarius_casuarius","8787","Struthio casuarius;Casuarius casurius",NA,NA,NA,NA,NA,"Casuarius","Casuariidae","Casuariiformes","Aves","Chordata","Metazoa",NA,1.58984375,1555020000,NA,165721,15110,"2018-07-26","Scaffold",1209001349,3704890,NA,92,46,2,"insdc_open",NA,"not_in_toga","Southern cassowary,Australian cassowary;southern cassowary","species","Casuarius casuarius",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Phoenicopterus ruber","Phoenicopterus ruber",NA,NA,"II","LEAST CONCERN",4,"M/U/F/F","Birds","Fibro",NA,NA,NA,"X",NA,NA,"Trachea",NA,"Phoenicopterus_ruber","9217","Phoenicopterus roseus;Phoenicopterus ruber ruber",NA,NA,NA,NA,NA,"Phoenicopterus","Phoenicopteridae","Phoenicopteriformes","Aves","Chordata","Metazoa",NA,1.384765625,1354530000,NA,14700712,NA,"2023-04-03","Chromosome",1246226932,85472901,NA,80,40,2,"insdc_open",NA,"toga1/2","American flamingo,Greater flamingo","species","Phoenicopterus ruber",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Sarcoramphus papa","Sarcoramphus papa",NA,NA,"III","LEAST CONCERN",1,"F","Birds","Fibro",NA,"x",NA,NA,NA,NA,"Skin/traquea",NA,"Sarcoramphus_papa","43583","Sarcorhamphus papa;Vultur papa",NA,NA,NA,NA,NA,"Sarcoramphus","Cathartidae","Accipitriformes","Aves","Chordata","Metazoa",NA,1.509765625,1476780000,NA,40899883,NA,"2024-04-04","Chromosome",1543931415,96420541,NA,80,40,2,"insdc_open",NA,"toga1/2","King Vulture,king vulture","species","Sarcoramphus papa",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",TRUE
"Psophia crepitans","Psophia crepitans",NA,NA,"-","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Psophia_crepitans","54359",NA,NA,NA,NA,NA,NA,"Psophia","Psophiidae","Gruiformes","Aves","Chordata","Metazoa",NA,1.4404296875,1405875000,NA,58160,15289,"2020-07-10","Scaffold",1169253548,468890,96.4,80,40,2,"insdc_open",NA,"not_in_toga","Grey-winged Trumpeter,common trumpeter","species","Psophia crepitans",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,1,"Both",1,1,1,"Other",FALSE
"Haliaeetus leucocephalus","Haliaeetus leucocephalus",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Haliaeetus_leucocephalus","52644","Falco leucocephalus",NA,NA,NA,NA,NA,"Haliaeetus","Accipitridae","Accipitriformes","Aves","Chordata","Metazoa",NA,1.4296875,1398540000,NA,105493,NA,"2014-08-04","Scaffold",1178409481,9145499,96.9,66,33,2,"insdc_open",NA,"not_in_toga","Bald Eagle,Bald eagle;Bald Eagle;bald eagle","species","Haliaeetus leucocephalus",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Otus scops scops","Otus scops","scops","Strigiformes
 

","II","LEAST CONCERN",5,"M/M/F/F/M","Birds","Fibro",NA,NA,NA,"X",NA,NA,"Tissue (skin)",NA,"Otus_scops","126827","Strix scops",NA,NA,NA,NA,NA,"Otus","Strigidae","Strigiformes","Aves","Chordata","Metazoa",NA,1.400390625,1369200000,NA,25579,NA,"2024-05-28","Scaffold",1290760454,86908813,NA,78,38,2,"insdc_open",NA,"toga1/2","Eurasian scops owl,Eurasian scops owl;Scops Owl;Eurasian Scops Owl;Eurasian scops-owl","species","Otus scops",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,6,0,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Tyto alba","Tyto alba",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Tyto_alba","56313","Strix alba",NA,NA,NA,NA,NA,"Tyto","Tytonidae","Strigiformes","Aves","Chordata","Metazoa",NA,1.6298828125,1594140000,NA,17955177,13081,"2021-06-03","Scaffold",1185005310,36032128,84.2,92,46,2,"insdc_open",NA,"not_in_toga","Common Barn-owl,Common barn owl;Barn Owl;Western Barn Owl;Owl, Barn;common barn owl","species","Tyto alba",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Tauraco erythrolophus","Tauraco erythrolophus",NA,NA,"II","LEAST CONCERN",2,"F/F","Birds","Fibro",NA,"X","X",NA,NA,NA,"Trachea",NA,"Tauraco_erythrolophus","121530",NA,NA,NA,NA,NA,NA,"Tauraco","Musophagidae","Musophagiformes","Aves","Chordata","Metazoa",NA,1.4169921875,1391205000,NA,22885,14943,"2014-06-25","Scaffold",1155540733,56334,91.1,82,41,2,"insdc_open",NA,"not_in_toga","Red-crested turaco,red-crested turaco","species","Tauraco erythrolophus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,3,"Both",1,1,1,"Musophagiformes",FALSE
"Gallus gallus domestic","Gallus gallus","domestic",NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Gallus_gallus","9031","Gallus gallus domesticus;Phasianus gallus",NA,NA,NA,NA,NA,"Gallus","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,1.2646484375,1237170000,NA,18834961,NA,"2021-10-01","Chromosome",1053315467,90861225,96.6,78,39,2,"insdc_open",NA,"toga2","Domestic chicken,Domestic chicken;chicken","species","Gallus gallus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Galliformes",TRUE
