"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","wgs","rna_seq","iucn","superclass","animal_id","individual_id","lines_per_individual","iPSC","status","cnag_id","species_short","link","dna","karyo","rna","seq","n_samples","date","animal_species","species_360_local_id","coming_from_clean"
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae","MIG12-29917973","CAPTIVE","U","Primary",NA,"Aly_Mul_1",NA,NA,"EN","Amphibia","A26","I_A26",1,FALSE,FALSE,NA,"Aly_Mul","https://www.iucnredlist.org/species/977/89697685",FALSE,FALSE,FALSE,FALSE,1,"20/7/2020","Alytes Muletensis","MIG12-28179259/8751","Zoo Barcelona"
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae",NA,"CAPTIVE","U","Primary",NA,"Aly_Mul_2","ABA23936",NA,"EN","Amphibia","A481","I_A481",1,FALSE,FALSE,NA,"Aly_Mul","https://www.miteco.gob.es/es/biodiversidad/temas/inventarios-nacionales/anfibios_12_tcm30-98887.pdf",FALSE,FALSE,FALSE,FALSE,1,"18/08/2023","Alytes muletensis","QGH23-06415-IA","Zoo Barcelona"
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae",NA,"CAPTIVE","U","Primary",NA,"Aly_Mul_3",NA,NA,"EN","Amphibia","A487","I_A487",1,FALSE,FALSE,NA,"Aly_Mul","http://digital.csic.es/bitstream/10261/108319/3/alymul_v4.pdf",FALSE,FALSE,FALSE,FALSE,1,"25/08/2023","Alytes muletensis","QGH22-06108/Barcelona/14141","Zoo Barcelona"
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae",NA,"CAPTIVE","U","Primary",NA,"Aly_Mul_4",NA,NA,"EN","Amphibia","A488","I_A488",1,FALSE,FALSE,NA,"Aly_Mul","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97955",FALSE,FALSE,FALSE,FALSE,1,"25/08/2023","Alytes muletensis","QGH22-06108/Barcelona/14141","Zoo Barcelona"
"Alytes muletensis","Alytes muletensis",NA,"Mallorcan midwife toad","Discoglossidae","QGH23-06294/BARCELONA / 14254","CAPTIVE","F","Primary",NA,"Aly_Mul_5",NA,NA,"EN","Amphibia","A812","I_A812",1,FALSE,FALSE,NA,"Aly_Mul",NA,FALSE,FALSE,FALSE,FALSE,1,"4/5/2026","Alytes muletensis","QGH23-06294/BARCELONA / 14254","Zoo Barcelona"
"Agalychnis callidryas","Agalychnis callidryas",NA,"Red-eyed Treefrog","Phyllomedusidae","-","CAPTIVE",NA,"Primary",NA,"Aga_Cal_1",NA,NA,"LC","Amphibia","A378","I_A378",1,FALSE,FALSE,NA,"Aga_Cal","https://www.iucnredlist.org/species/55290/3028059",FALSE,FALSE,FALSE,FALSE,1,"11/08/2022","Agalychnis callidryas","FMK17-00003","Aquarium de Gijon"
"Xenopus longipes","Xenopus longipes",NA,"Lake Oku Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Lon_1",NA,NA,"CR","Amphibia","A604","I_A604",1,FALSE,FALSE,NA,"Xen_Lon",NA,FALSE,FALSE,FALSE,FALSE,1,"4/11/2024","Xenopus longipes","QTR12-00743 / BARCELONA / 12098","Zoo Barcelona"
"Xenopus longipes","Xenopus longipes",NA,"Lake Oku Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Lon_2",NA,NA,"CR","Amphibia","A653","I_A653",1,FALSE,FALSE,NA,"Xen_Lon",NA,FALSE,FALSE,FALSE,FALSE,1,"24/2/2025","Xenopus longipes","25901715 / BARCELONA / 10484","Zoo Barcelona"
"Xenopus allofraseri","Xenopus allofraseri",NA,"False Fraser's Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_All_1",NA,NA,"LC","Amphibia","A605","I_A605",1,FALSE,FALSE,NA,"Xen_All","https://www.iucnredlist.org/species/89257106/89674955",FALSE,FALSE,FALSE,FALSE,1,"4/11/2024","Xenopus allofraseri","QTR12-00743 / BARCELONA / 12098","Zoo Barcelona"
"Xenopus laevis","Xenopus laevis",NA,"African Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Lae_1","ABA20168",NA,"LC","Amphibia","A606","I_A606",1,FALSE,FALSE,NA,"Xen_Lae",NA,FALSE,FALSE,FALSE,TRUE,1,"4/11/2024","Xenopus laevis","QTR12-00743 / BARCELONA / 12098","Zoo Barcelona"
