"animal_ID","sample_id","species","superclass","DNA_ex","RNA_ex","pellet","CT_total","n_passages","reps","next_step"
"A50","Mun_Mun_1","Mungos mungo","Mammalia",TRUE,FALSE,1,3,3,"techrep1","thaw_line"
"A8","Lut_Lut_1","Lutra lutra","Mammalia",FALSE,FALSE,0,9,4,"techrep1","from_cryo"
"A422","Mus_Lut_1","Mustela lutreola","Mammalia",TRUE,FALSE,1,2,2,"techrep1","thaw_line"
"A440","Pte_Bra_1","Pteronura brasiliensis","Mammalia",FALSE,FALSE,0,3,1,"techrep1","thaw_line"
"A164","Ota_Byr_1","Otaria byronia","Mammalia",FALSE,FALSE,0,3,2,"biorep","thaw_line"
"A236","Ota_Byr_2","Otaria byronia","Mammalia",FALSE,FALSE,0,4,3,"biorep","thaw_line"
"A414","Ota_Byr_3","Otaria byronia","Mammalia",TRUE,FALSE,1,4,2,"biorep","thaw_line"
"A345","Zal_Cal_1","Zalophus californianus","Mammalia",FALSE,FALSE,0,3,1,"techrep1","thaw_line"
"A195","Sur_Sur_1","Suricata suricatta","Mammalia",TRUE,FALSE,0,3,2,"biorep","thaw_line"
"A375","Sur_Sur_2","Suricata suricatta","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
"A222","Cro_Cro_1","Crocuta crocuta","Mammalia",FALSE,FALSE,0,2,1,"techrep1","thaw_line"
"A357","Lox_Afr_1","Loxodonta africana","Mammalia",FALSE,FALSE,0,13,4,"techrep1","from_cryo"
"A132","Eli_Que_1","Eliomys quercinus","Mammalia",TRUE,FALSE,0,4,2,"techrep1","thaw_line"
"A391","Hyd_Hyd_2","Hydrochoerus hydrochaeris","Mammalia",FALSE,FALSE,0,4,2,"techrep1","thaw_line"
"A70","Dol_Pat_2","Dolichotis patagonum","Mammalia",FALSE,FALSE,0,6,4,"biorep","from_cryo"
"A460","Dol_Pat_3","Dolichotis patagonum","Mammalia",TRUE,TRUE,1,2,1,"biorep","seq"
