"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x14","iucn","iPSC","status","superclass"
"93.0","Mandrillus leucophaeus","Mandrillus leucophaeus",NA,"Drill","Cercopithecidae","MIG12-29591019/BARCELONA / 6329","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A381","A381",NA,NA,"*A381*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"94.0","Miopithecus ogouensis","Miopithecus ogouensis",NA,"Northern Talapoin Monkey","Cercopithecidae","QGH21-05798/ BARCELONA / 13935","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A165","A165",NA,NA,NA,NA,"https://www.iucnredlist.org/species/41570/17953573","NT",FALSE,FALSE,"Mammalia"
"94.0","Miopithecus ogouensis","Miopithecus ogouensis",NA,"Northern Talapoin Monkey","Cercopithecidae","YRV19-03423/13504/BARCELONA","-","F","Fibro","DNA","iPSC",NA,NA,NA,"A272","A272",NA,NA,"*A272*",NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi","NT",TRUE,TRUE,"Mammalia"
"95.0","Cercopithecus neglectus","Cercopithecus neglectus",NA,"De Brazza’s Monkey","Cercopithecidae","26674024/13192","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A174","A174",NA,NA,"*A174*",NA,"https://www.iucnredlist.org/species/4223/17947167","LC",FALSE,TRUE,"Mammalia"
"96.0","Papio cynocephalus","Papio cynocephalus",NA,"Yellow Baboon","Cercopithecidae","NO ZIMS (F/HYBRDID?)",NA,NA,"Fibro","DNA","SEQ",NA,NA,NA,"A274","A274",NA,NA,"*A274*","AY5183",NA,"LC?",FALSE,TRUE,"Mammalia"
"97.0","Macaca sylvanus","Macaca sylvanus",NA,"Barbary macaque","Cercopithecidae","MIG12-28734788/BARCELONA/10699","WILD","M","Fibro","DNA","SEQ",NA,NA,NA,"A300","A300",NA,NA,"*A300*","AX8912",NA,"EN",FALSE,TRUE,"Mammalia"
"97.0","Macaca sylvanus","Macaca sylvanus",NA,"Barbary macaque","Cercopithecidae","MIG12-29661833/[10696/BARCELONA","WILD","F","Fibro",NA,NA,NA,NA,NA,"A492","A492",NA,NA,NA,NA,NA,"EN",FALSE,TRUE,"Mammalia"
"98.0","Hylobates muelleri","Hylobates muelleri",NA,"Bornean Gibbon","Hylobatidae","27920039/MADRID Z / GM2","UNKNOWN","M","Fibro","DNA",NA,NA,NA,NA,"A298","A298",NA,NA,"*A298*",NA,NA,"EN",FALSE,TRUE,"Mammalia"
"99.0","Hylobates pileatus","Hylobates pileatus",NA,"Pileated Gibbon","Hylobatidae","24150276/BARCELONA / 11283","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A379","A379",NA,NA,"*A379*",NA,"https://www.iucnredlist.org/species/10552/17966665","EN",FALSE,TRUE,"Mammalia"
"100.0","Hylobates lar","Hylobates lar",NA,"White-handed Gibbon","Hylobatidae","25620264/MADRID Z / GMB2","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A432","A432",NA,NA,NA,NA,"https://www.iucnredlist.org/species/10548/17967253","EN",FALSE,FALSE,"Mammalia"
"100.0","Hylobates lar","Hylobates lar",NA,"White-handed Gibbon","Hylobatidae","HBY14-00185/ELCHE SAF / 1276","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A467","A467",NA,NA,NA,NA,NA,"EN",FALSE,TRUE,"Mammalia"
"101.0","Erinaceus europaeus","Erinaceus europaeus",NA,"West European Hedgehog","Erinaceinae","ERIZO1",NA,NA,"Primary",NA,NA,NA,NA,NA,"A211","A211",NA,NA,NA,NA,"https://www.iucnredlist.org/species/29650/2791303","LC",FALSE,FALSE,"Mammalia"
"101.0","Erinaceus europaeus","Erinaceus europaeus",NA,"West European Hedgehog","Erinaceinae","QGH20-05451-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A40","A40",NA,NA,NA,NA,"https://animaldiversity.org/accounts/Erinaceus_europaeus/","LC",FALSE,FALSE,"Mammalia"
"102.0","Suncus etruscus","Suncus etruscus",NA,"Pygmy White-toothed Shrew","Soricidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A64","A64",NA,NA,NA,NA,"https://www.iucnredlist.org/species/90389138/22288134","LC",FALSE,FALSE,"Mammalia"
"103.0","Artibeus jamaicensis","Artibeus jamaicensis",NA,"Jamaican Fruit-eating Bat","Chiroptera",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A161","A161",NA,NA,NA,NA,"https://www.iucnredlist.org/species/14919/22016159","LC",FALSE,FALSE,"Mammalia"
"104.0","Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","17963235/BARCELONA / 5732","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A194","A194",NA,NA,"*A194*",NA,"https://www.iucnredlist.org/species/18734/22082429","VU",FALSE,TRUE,"Mammalia"
"104.0","Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","MIG12-29239579","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A279","A279",NA,NA,"*A279*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"104.0","Pteropus lylei","Pteropus lylei",NA,"Lyle's flying fox","Chiroptera","MIG12-28324384/MIG12-28324384","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A419","A419",NA,NA,"*A419*",NA,NA,"VU",FALSE,TRUE,"Mammalia"
"105.0","Myrmecophaga tridactyla","Myrmecophaga tridactyla",NA,"Giant Anteater","Myrmecophagidae","-",NA,NA,"Primary",NA,NA,NA,NA,NA,"A342","A342",NA,NA,"*A342*",NA,NA,"LC",FALSE,FALSE,"Mammalia"
"105.0","Myrmecophaga tridactyla","Myrmecophaga tridactyla",NA,"Giant Anteater","Myrmecophagidae","26855739/MADRID Z / OH4","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A436","A436",NA,NA,"*A436*",NA,NA,"LC",FALSE,FALSE,"Mammalia"
"106.0","Procavia capensis","Procavia capensis",NA,"Rock hyrax","Procaviidae","CGK10-00254/BIOPARCVA / V11164","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A353","A353",NA,NA,"*A353*",NA,NA,"LC",FALSE,TRUE,"Mammalia"
"106.0","Procavia capensis","Procavia capensis",NA,"Rock hyrax","Procaviidae",NA,"CAPTIVE",NA,"Fibro","DNA","RNA",NA,NA,NA,"A469","A469",NA,NA,NA,NA,NA,"LC",FALSE,TRUE,"Mammalia"
