"taxon_id","scientific_name","common_name","alternative_name","genus","subfamily","family","order","class","iucn_category","genome","annotation","zoonomia","samples","sex","cell_line","i_psc","sample","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession"
"9870","Rangifer tarandus","Reindeer,[""Reindeer, caribou""]",NA,"Rangifer",NA,"Cervidae","Artiodactyla","Mammalia","VULNERABLE",TRUE,FALSE,FALSE,1,NA,"Fibro",NA,"Tissue/ovaries","Scaffold",986392,128565,NA,"2023-04-03",NA,3334980000,35,2,"published",NA,NA,NA
"59531","Kobus leche","Kobus leche,[""lechwe""]","Southern lechwe","Kobus","Reduncinae","Bovidae","Artiodactyla","Mammalia","NEAR THREATENED",TRUE,FALSE,FALSE,1,"-","No cell line",NA,"Blood","Scaffold",3233651,66923,NA,"2023-04-03",NA,3853320000,25,2,"insdc_open",NA,NA,NA
"9823","Sus scrofa","Wild boar,[""pig""]",NA,"Sus","Suinae","Suidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"F","Fibro",NA,"Tissue","Chromosome",88231837,48231277,30371,"2017-02-07",NA,2885100000,18,2,"insdc_open","106.0","Sscrofa11.1","GCA_000003025.6"
"69297","Tragelaphus eurycerus","Bongo,[""bongo""]",NA,"Tragelaphus",NA,"Bovidae","Artiodactyla","Mammalia","NEAR THREATENED",TRUE,FALSE,FALSE,2,"F/M","Fibro",NA,"Tissue","Contig",21206903,21206903,NA,"2022-03-28",NA,3853320000,15,2,"insdc_open",NA,NA,NA
"69298","Tragelaphus spekii","Sitatunga,[""Sitatunga""]",NA,"Tragelaphus","Bovinae","Bovidae","Artiodactyla","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,2,"-/-","Fibro",NA,"Tissue (placenta/ombelical cordon)",NA,NA,NA,NA,"2023-04-03",NA,3853320000,15,2,NA,NA,NA,NA
"47709","Sargocentron diadema","Crown Squirrelfish,[""crown squirrelfish""]",NA,"Sargocentron",NA,"Holocentridae","Holocentriformes","Fish","LEAST CONCERN",TRUE,FALSE,FALSE,1,"-","No cell line",NA,"Caudal Fin",NA,NA,NA,NA,NA,NA,757950000,23,2,NA,NA,NA,NA
"155086","Bucorvus leadbeateri","Southern ground hornbill,[""southern ground hornbill""]",NA,"Bucorvus",NA,"Bucorvidae","Bucerotiformes","Birds","VULNERABLE",TRUE,FALSE,FALSE,1,"U","Fibro",NA,"Trachea",NA,NA,NA,NA,"2023-04-03",NA,1398540000,44,2,"in_progress",NA,NA,NA
"263684","Carcharhinus amblyrhynchos","Grey Reef Shark,[""Grey reef shark""]",NA,"Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Fish","ENDANGERED",TRUE,FALSE,FALSE,1,NA,"No cell line",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,3344760000,39,2,NA,NA,NA,NA
"9646","Ailuropoda melanoleuca","Giant Panda,[""giant panda""]",NA,"Ailuropoda",NA,"Ursidae","Carnivora","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,2,NA,"Fibro",NA,"Tissue","Chromosome",129245720,127687,31335,"2020-04-20",NA,2689500000,21,2,"insdc_open","103.0","ASM200744v2","GCA_002007445.2"
"9649","Ailurus fulgens","Red Panda,[""lesser panda""]",NA,"Ailurus",NA,"Ailuridae","Carnivora","Mammalia","ENDANGERED",TRUE,TRUE,TRUE,5,"F/F/F/M/F","Fibro",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,2854537500,18,2,NA,NA,NA,NA
