"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","link","dna","karyo","rna","seq"
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH20-05395","CAPTIVE","M","Fibro",NA,"Aep_Mel_2","A280",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Aep_Mel","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9897",FALSE,FALSE,FALSE,FALSE
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH19-05174/BARCELONA13498","CAPTIVE","M","Fibro",NA,"Aep_Mel_3","A67",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Aep_Mel","https://www.iucnredlist.org/species/550/50180828",FALSE,TRUE,FALSE,FALSE
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH19-05221/BARCELONA13544","CAPTIVE","F","Fibro","Aepyceros melampus A129","Aep_Mel_4","A129",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Aep_Mel","https://animaldiversity.org/accounts/Aepyceros_melampus/",FALSE,FALSE,FALSE,FALSE
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH21-05739/BARCELONA13905","CAPTIVE","U","Primary",NA,"Aep_Mel_5","A147",NA,NA,NA,"LC","Mammalia",FALSE,FALSE,"Aep_Mel","https://costarica.inaturalist.org/taxa/120012-Aepyceros-melampus-petersi",FALSE,FALSE,FALSE,FALSE
"Aepyceros melampus","Aepyceros melampus",NA,"Impala","Bovidae","QGH22-06136/BARCELONA / 14160","CAPTIVE","M","Fibro",NA,"Aep_Mel_6","A425",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Aep_Mel",NA,TRUE,FALSE,FALSE,FALSE
"Oryx gazella","Oryx gazella",NA,"Gemsbok","Bovidae","ORGA-02",NA,NA,"Fibro","Oryx gazele A78","Ory_Gaz_1","A78",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Ory_Gaz","https://www.iucnredlist.org/species/15573/166485425",TRUE,TRUE,FALSE,FALSE
"Gazella cuvieri","Gazella cuvieri",NA,"Cuvier's Gazelle","Bovidae",NA,NA,NA,"Fibro",NA,"Gaz_Cuv_1","A79",NA,NA,NA,"VU","Mammalia",TRUE,FALSE,"Gaz_Cuv","https://www.iucnredlist.org/species/8967/50186003",TRUE,FALSE,FALSE,FALSE
"Gazella cuvieri","Gazella cuvieri",NA,"Cuvier's Gazelle","Bovidae","-",NA,NA,"Primary",NA,"Gaz_Cuv_2",NA,NA,NA,NA,"VU","Mammalia",FALSE,FALSE,"Gaz_Cuv","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=69301",FALSE,FALSE,FALSE,FALSE
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","17968259/BARCELONA6321","CAPTIVE","M","Fibro","Oryx dammah A169","Ory_Dam_1","A169",NA,NA,"ORGONE_21","EW","Mammalia",TRUE,TRUE,"Ory_Dam","https://www.iucnredlist.org/species/15568/50191470",FALSE,TRUE,TRUE,TRUE
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","QGH20-05339","CAPTIVE","F","Fibro",NA,"Ory_Dam_2","A245",NA,NA,NA,"EW","Mammalia",TRUE,FALSE,"Ory_Dam","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59534",FALSE,FALSE,TRUE,FALSE
"Oryx dammah","Oryx dammah",NA,"Scimitar-horned Oryx","Bovidae","QGH20-05394","CAPTIVE","M","Primary",NA,"Ory_Dam_3","A246",NA,NA,NA,"EW","Mammalia",FALSE,FALSE,"Ory_Dam","https://animaldiversity.org/accounts/Oryx_dammah/",FALSE,FALSE,FALSE,FALSE
"Addax nasomaculatus","Addax nasomaculatus",NA,"Addax","Bovidae",NA,NA,NA,"PBMc",NA,"Add_Nas_1","A201",NA,NA,NA,"CR","Mammalia",TRUE,FALSE,"Add_Nas","https://www.iucnredlist.org/species/512/50180603",FALSE,FALSE,FALSE,FALSE
"Addax nasomaculatus","Addax nasomaculatus",NA,"Addax","Bovidae","-",NA,NA,"PBMc",NA,"Add_Nas_2","A74",NA,NA,NA,"CR","Mammalia",TRUE,FALSE,"Add_Nas","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi",FALSE,FALSE,FALSE,FALSE
"Connochaetes taurinus","Connochaetes taurinus",NA,"Blue Wildebeest","Bovidae","19494545/BARCELONA9345","CAPTIVE","M","Fibro","Connochaetes taurinus A182","Con_Tau_1","A182",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Con_Tau","https://www.iucnredlist.org/species/5229/163322525",FALSE,TRUE,FALSE,FALSE
"Connochaetes gnou","Connochaetes gnou",NA,"Black Wildebeest","Bovidae","MIG12-29654178/MADRID Z / NCB28","CAPTIVE","M","Fibro",NA,"Con_Gno_1","A204",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Con_Gno","https://www.iucnredlist.org/species/5228/50184962",FALSE,FALSE,FALSE,FALSE
"Connochaetes gnou","Connochaetes gnou",NA,"Black Wildebeest","Bovidae","-",NA,NA,"PBMc",NA,"Con_Gno_2","A7",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Con_Gno","https://animaldiversity.org/accounts/Connochaetes_gnou/",FALSE,FALSE,FALSE,FALSE
"Tragelaphus spekii","Tragelaphus spekii",NA,"Sitatunga","Bovidae","MIG12-28842211","CAPTIVE",NA,"Fibro",NA,"Tra_Spe_1","A115",NA,NA,NA,"LC","Mammalia",TRUE,FALSE,"Tra_Spe","https://www.iucnredlist.org/species/22050/115164901",FALSE,FALSE,FALSE,FALSE
"Tragelaphus spekii","Tragelaphus spekii",NA,"Sitatunga","Bovidae",NA,NA,NA,"Primary",NA,"Tra_Spe_2","A221",NA,NA,NA,"LC","Mammalia",FALSE,FALSE,"Tra_Spe","https://animaldiversity.org/accounts/Tragelaphus_spekii/",FALSE,FALSE,FALSE,FALSE
