"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","link","dna","karyo","rna","seq"
"Chloris chloris","Chloris chloris",NA,"European Greenfinch","Fringillidae","CRAS 75/21",NA,NA,"Primary",NA,"Chl_Chl_1","A122",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Chl_Chl","https://www.iucnredlist.org/species/22720330/132000123",FALSE,FALSE,FALSE,FALSE
"Delichon urbicum","Delichon urbicum",NA,"Northern House Martin","Hirundinidae","CRAS 111/21",NA,NA,"Primary",NA,"Del_Urb_1","A135",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Del_Urb","https://www.iucnredlist.org/species/103811886/118748864",FALSE,FALSE,FALSE,FALSE
"Carduelis carduelis","Carduelis carduelis",NA,"European Goldfinch","Fringillidae","SN1",NA,NA,"Primary",NA,"Car_Car_3","A134",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Car_Car","https://www.iucnredlist.org/species/103764950/152615959",FALSE,FALSE,FALSE,FALSE
"Lanius senator","Lanius senator",NA,"Woodchat Shrike","Laniidae","CRAS 28/22",NA,NA,"Primary",NA,"Lan_Sen_1","A293",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Lan_Sen",NA,FALSE,FALSE,FALSE,FALSE
"Cyanocorax yncas","Cyanocorax yncas",NA,"Green jay","Corvidae","MIG12-29349059/BARCELONA / 11008","CAPTIVE","F","Primary",NA,"Cya_Ync_1","A508",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Cya_Ync",NA,FALSE,FALSE,FALSE,FALSE
"Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","MIG12-28921127/ BARCELONA / 12368","CAPTIVE","M","Primary",NA,"Ama_Aut_1","A380",NA,NA,NA,"CR","Birds",FALSE,FALSE,"Ama_Aut","https://www.gbif.org/species/7533598",FALSE,FALSE,FALSE,FALSE
"Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","QGH22-06108/Barcelona/14141","CAPTIVE","M","Primary",NA,"Ama_Aut_2","A25",NA,NA,NA,"CR","Birds",FALSE,FALSE,"Ama_Aut",NA,FALSE,FALSE,FALSE,FALSE
"Amazona autumnalis","Amazona autumnalis",NA,"Lilacine Amazon","Psittacidae","QGH22-06108/ BARCELONA / 14141","CAPTIVE","M","Primary",NA,"Ama_Aut_3","A486",NA,NA,NA,"CR","Birds",FALSE,FALSE,"Ama_Aut",NA,FALSE,FALSE,FALSE,FALSE
"Guaruba guarouba","Guaruba guarouba",NA,"Golden conure","Psittaciformes","MIG12-28325141","WILD","M","Fibro",NA,"Gua_Gua_1","A248",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Gua_Gua","https://www.iucnredlist.org/species/22724703/132029835",FALSE,FALSE,FALSE,FALSE
"Trichoglossus moluccanus","Trichoglossus moluccanus",NA,"Australian rainbow lorikeet","Psittacidae","WKP17-01371","CAPTIVE","U","Primary",NA,"Tri_Mol_1","A273",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Tri_Mol",NA,FALSE,FALSE,FALSE,FALSE
"Trichoglossus moluccanus","Trichoglossus moluccanus",NA,"Australian rainbow lorikeet","Psittacidae","-",NA,NA,"Primary",NA,"Tri_Mol_2","A410",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Tri_Mol",NA,FALSE,FALSE,FALSE,FALSE
"Eclectus roratus","Eclectus roratus",NA,"Eclectus parrot","Psittacidae","WKP18-01463","-","M","Fibro",NA,"Ecl_Ror_1","A281",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Ecl_Ror",NA,TRUE,FALSE,FALSE,FALSE
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,"Hyacinth macaw","Psittacidae","QGH22-06092-IA","-","M","Fibro",NA,"Ano_Hya_1","A329",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Ano_Hya","https://www.iucnredlist.org/species/22685516/93077457",FALSE,FALSE,FALSE,FALSE
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,"Hyacinth macaw","Psittacidae","QGH22-06100-IA",NA,NA,"Primary",NA,"Ano_Hya_2","A337",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Ano_Hya",NA,FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","MIG12-29591016","CAPTIVE","M","Primary",NA,"Aga_Nig_1","A49",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","https://www.iucnredlist.org/species/22685360/93069915",FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","DKL17-04749/ BARCELONA / 13256","CAPTIVE","F","Primary",NA,"Aga_Nig_2","A388",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig","https://www.gbif.org/species/2479545",FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06204-IA/27","-","U","Primary",NA,"Aga_Nig_3","A401",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig",NA,FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06205-IA/28","-","U","Primary",NA,"Aga_Nig_4","A402",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig",NA,FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06225-IA","CAPTIVE","U","Primary",NA,"Aga_Nig_5","A415",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig",NA,FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","MIG12-29591015/BARCELONA / 10887","CAPTIVE","M","Primary",NA,"Aga_Nig_6","A499",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Aga_Nig",NA,FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH23-06424/BARCELONA/14328","CAPTIVE","U","Fibro",NA,"Aga_Nig_7","A512",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Aga_Nig",NA,FALSE,FALSE,FALSE,FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH23-06487/BARCELONA / 14384","CAPTIVE","F","Fibro",NA,"Aga_Nig_8","A515",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Aga_Nig",NA,FALSE,FALSE,FALSE,FALSE
"Aratinga solstitialis","Aratinga solstitialis",NA,"Sun Parakeet","Psittacidae",NA,NA,NA,"Fibro",NA,"Ara_Sol_1","A185",NA,NA,NA,"EN","Birds",TRUE,FALSE,"Ara_Sol","https://www.iucnredlist.org/species/62233372/95192947",FALSE,FALSE,FALSE,FALSE
"Eos reticulata","Eos reticulata",NA,"Blue-streaked lory","Psittacidae","27181800/BARCELONA / 10564","CAPTIVE","F","Fibro",NA,"Eos_Ret_1","A354",NA,NA,NA,"NT","Birds",TRUE,FALSE,"Eos_Ret",NA,FALSE,FALSE,FALSE,FALSE
"Ara chloropterus","Ara chloropterus",NA,"Red-and-green Macaw","Psittacidae","25767166/BARCELONA / 7344","UNKNOWN","M","Fibro",NA,"Ara_Chl_1","A362",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Ara_Chl","https://www.iucnredlist.org/species/22685566/163776409",FALSE,FALSE,FALSE,FALSE
"Amazona aestiva","Amazona aestiva",NA,"Blue-fronted amazon","Psittacidae","MIG12-28842346","CAPTIVE","F","Primary",NA,"Ama_Aes_1","A367",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Ama_Aes",NA,FALSE,FALSE,FALSE,FALSE
"Amazona brasiliensis","Amazona brasiliensis",NA,"Red-tailed amazon","Psittacidae","MIG12-21379186/BARCELONA / 10462","CAPTIVE","M","Primary",NA,"Ama_Bra_1","A383",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Ama_Bra","https://www.iucnredlist.org/species/22686296/118478685",FALSE,FALSE,FALSE,FALSE
"Ara ararauna","Ara ararauna",NA,"Blue-and-yellow macaw","Psittacidae","MIG12-28326023/ BARCELONA / 2083","WILD","M","Fibro",NA,"Ara_Ara_1","A441",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Ara_Ara","https://www.iucnredlist.org/species/22685539/131917270",FALSE,FALSE,FALSE,FALSE
"Ara ararauna","Ara ararauna",NA,"Blue-and-yellow macaw","Psittacidae","WKP15-00490/MADRID Z / GAZ55","CAPTIVE","U","Primary",NA,"Ara_Ara_2","A458",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Ara_Ara",NA,FALSE,FALSE,FALSE,FALSE
"Ara rubrogenys","Ara rubrogenys",NA,"Red-fronted macaw","Psittacidae","27918567/MADRID Z / AR7","UNKOWN","F?","Primary",NA,"Ara_Rub_1",NA,NA,NA,NA,"CR","Birds",FALSE,FALSE,"Ara_Rub",NA,FALSE,FALSE,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","QGH20-05437","CAPTIVE","U","Primary",NA,"Nyc_Nyc_1","A42",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Nyc_Nyc","https://www.iucnredlist.org/species/22697211/155515762",FALSE,FALSE,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","QGH20-05427","CAPTIVE","M","Primary",NA,"Nyc_Nyc_2","A47","A43",NA,NA,"LC","Birds",FALSE,FALSE,"Nyc_Nyc","https://www.gbif.org/species/2480863",FALSE,FALSE,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","QGH21-05659","CAPTIVE","U","Primary",NA,"Nyc_Nyc_3","A128",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Nyc_Nyc",NA,FALSE,FALSE,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","QGH18-04841/QGH18-04841",NA,NA,"Primary",NA,"Nyc_Nyc_4","A229",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Nyc_Nyc",NA,FALSE,FALSE,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","QGH22-06035/BARCELONA/14079",NA,NA,"Fibro",NA,"Nyc_Nyc_5","A326",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Nyc_Nyc",NA,FALSE,FALSE,FALSE,FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","SM3",NA,NA,"Fibro",NA,"Nyc_Nyc_6","A125",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Nyc_Nyc",NA,FALSE,FALSE,FALSE,FALSE
"Ciconia ciconia","Ciconia ciconia",NA,"White stork","Ciconiformes","CRAS 78/21",NA,NA,"Primary",NA,"Cic_Cic_1","A126",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Cic_Cic","https://www.iucnredlist.org/species/22697691/86248677",FALSE,FALSE,FALSE,FALSE
"Ciconia ciconia","Ciconia ciconia",NA,"White stork","Ciconiformes","CRAS 21/21",NA,NA,"Primary",NA,"Cic_Cic_2","A80",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Cic_Cic","https://www.gbif.org/species/2481912",FALSE,FALSE,FALSE,FALSE
"Ciconia ciconia","Ciconia ciconia",NA,"White stork","Ciconiformes","CRAS 47/21",NA,NA,"Fibro","Ciconia ciconia A101","Cic_Cic_3","A101",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Cic_Cic",NA,TRUE,TRUE,FALSE,FALSE
"Platalea leucorodia","Platalea leucorodia",NA,"Eurasian spoonbill","Threskiornithidae","QGH16-02512","CAPTIVE","M","Primary",NA,"Pla_Leu_1","A93",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Pla_Leu","https://www.iucnredlist.org/species/22697555/155460986",FALSE,FALSE,FALSE,FALSE
"Platalea leucorodia","Platalea leucorodia",NA,"Eurasian spoonbill","Threskiornithidae","MIG-28179109/BARCELONA7847","CAPTIVE","M","Fibro",NA,"Pla_Leu_2","A263",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Pla_Leu","https://www.gbif.org/species/2480801",FALSE,FALSE,FALSE,FALSE
"Platalea ajaja","Platalea ajaja",NA,"Roseate spoonbill","Threskiornithid","MIG12-29661875/BARCELONA / 10746","CAPTIVE","M","Primary",NA,"Pla_Aja_1","A316",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Pla_Aja","https://www.iucnredlist.org/species/22697574/93621961",FALSE,FALSE,FALSE,FALSE
"Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","CRAS 67/21",NA,NA,"Primary",NA,"Ple_Fal_1","A119",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Ple_Fal","https://www.iucnredlist.org/species/22697422/155528413",FALSE,FALSE,FALSE,FALSE
"Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","2.5328829E7","CAPTIVE","M","Fibro",NA,"Ple_Fal_2","A251",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Ple_Fal","https://species.nbnatlas.org/species/NBNSYS0000000254#sequences",FALSE,FALSE,FALSE,FALSE
"Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","42/21",NA,NA,"Primary",NA,"Ple_Fal_3","A114",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Ple_Fal",NA,FALSE,FALSE,FALSE,FALSE
"Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","MIG12-28824985/ BARCELONA / 5327","CAPTIVE","M","Primary",NA,"Ple_Fal_4","A389",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Ple_Fal",NA,FALSE,FALSE,FALSE,FALSE
"Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","SN1",NA,NA,"Primary",NA,"Ger_Ere_1","A131",NA,NA,NA,"EN","Birds",FALSE,FALSE,"Ger_Ere",NA,FALSE,FALSE,FALSE,FALSE
"Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","VVM20-02434/JEREZ / IE2023","CAPTIVE","M","Primary",NA,"Ger_Ere_2","A86",NA,NA,NA,"EN","Birds",FALSE,FALSE,"Ger_Ere","https://www.iucnredlist.org/species/22697488/130895601",FALSE,FALSE,FALSE,FALSE
"Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","FRW20-01048/JEREZ / IE2014","CAPTIVE","U","Primary",NA,"Ger_Ere_3","A69",NA,NA,NA,"EN","Birds",FALSE,FALSE,"Ger_Ere","https://animaldiversity.org/accounts/Geronticus_eremita/",FALSE,FALSE,FALSE,FALSE
"Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","FRW20-01045/JEREZ / IE2011","CAPTIVE","U","Primary",NA,"Ger_Ere_4","A68",NA,NA,NA,"EN","Birds",FALSE,FALSE,"Ger_Ere",NA,FALSE,FALSE,FALSE,FALSE
"Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","ZDW17-03177/BARCELONA / 13500","CAPTIVE","F","Primary",NA,"Ger_Ere_5","A254",NA,NA,NA,"EN","Birds",FALSE,FALSE,"Ger_Ere",NA,FALSE,FALSE,FALSE,FALSE
"Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","QGH23-06354/BARCELONA / 14289","CAPTIVE","F","Fibro",NA,"Ger_Ere_6","A466",NA,NA,NA,"EN","Birds",TRUE,FALSE,"Ger_Ere",NA,TRUE,FALSE,FALSE,FALSE
"Eudocimus ruber","Eudocimus ruber",NA,"Scarlet Ibis","Threskiornithidae",NA,"CAPTIVE",NA,"Fibro",NA,"Eud_Rub_1","A519",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Eud_Rub",NA,FALSE,FALSE,FALSE,FALSE
"Eudocimus ruber","Eudocimus ruber",NA,"Scarlet Ibis","Threskiornithidae","MIG12-28706350","CAPTIVE","M","Fibro",NA,"Eud_Rub_2","A235",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Eud_Rub",NA,FALSE,FALSE,FALSE,FALSE
"Eudocimus ruber","Eudocimus ruber",NA,"Scarlet Ibis","Threskiornithidae","MIG12-28706348/BARCELONA / 11080","CAPTIVE","M","Primary",NA,"Eud_Rub_3","A438",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Eud_Rub",NA,FALSE,FALSE,FALSE,FALSE
"Threskiornis aethiopicus","Threskiornis aethiopicus",NA,"Sacred ibis","Threskiornithidae","27920372/MADRID Z / IS48","UNKNOWN","U","Fibro",NA,"Thr_Aet_1","A230",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Thr_Aet","https://www.iucnredlist.org/species/22697510/132068562",FALSE,FALSE,FALSE,FALSE
"Butorides striata","Butorides striata",NA,"Striated heron","Ardeidae","QGH17-04483","CAPTIVE","M","Fibro",NA,"But_Str_1","A107",NA,NA,NA,"LC","Birds",TRUE,FALSE,"But_Str",NA,TRUE,FALSE,FALSE,FALSE
"Butorides striata","Butorides striata",NA,"Striated heron","Ardeidae","QGH12-00159/BARCELONA / 11588","CAPTIVE","M","Primary",NA,"But_Str_2",NA,NA,NA,NA,"LC","Birds",FALSE,FALSE,"But_Str","https://www.iucnredlist.org/species/22728182/94973442",FALSE,FALSE,FALSE,FALSE
"Ixobrychus minutus","Ixobrychus minutus",NA,"Little bittern","Ardeidae","VKM13-00879/BARCELONA / 12860","CAPTIVE","F","Primary",NA,"Ixo_Min_1","A385",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Ixo_Min","https://www.iucnredlist.org/species/22735766/155511258",FALSE,FALSE,FALSE,FALSE
"Gallinula chloropus","Gallinula chloropus",NA,"Common Moorhen","Rallidae","CRAS 56/21",NA,NA,"Primary",NA,"Gal_Chl_1","A106",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Gal_Chl","https://www.iucnredlist.org/species/62120190/155506651",FALSE,FALSE,FALSE,FALSE
"Gallinula chloropus","Gallinula chloropus",NA,"Common Moorhen","Rallidae","CRAS 25/21",NA,NA,"Primary",NA,"Gal_Chl_2","A89",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Gal_Chl",NA,FALSE,FALSE,FALSE,FALSE
"Balearica pavonina","Balearica pavonina",NA,"Black Crowned Crane","Gruidae","QGH20-05471","CAPTIVE","U","Primary",NA,"Bal_Pav_1",NA,NA,NA,NA,"VU","Birds",FALSE,FALSE,"Bal_Pav","https://www.gbif.org/species/5228232",FALSE,FALSE,FALSE,FALSE
"Psophia crepitans","Psophia crepitans",NA,"Grey-winged Trumpeter","Gruiformes","FRW15-00565","CAPTIVE","F","Primary",NA,"Pso_Cre_1","A100",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Pso_Cre","https://www.iucnredlist.org/species/45478181/95158441",FALSE,FALSE,FALSE,FALSE
"Marmaronetta angustirostris","Marmaronetta angustirostris",NA,"Marbled Teal","Anatidae","2.495321E7","CAPTIVE","F","Primary",NA,"Mar_Ang_1","A87",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Mar_Ang","https://www.gbif.org/species/2498390",FALSE,FALSE,FALSE,FALSE
"Netta peposaca","Netta peposaca",NA,"Rosy-billed Pochard","Anatidae","2.7919208E7","CAPTIVE","F","Primary",NA,"Net_Pep_1","A104",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Net_Pep","https://www.iucnredlist.org/species/22680351/92856953",FALSE,FALSE,FALSE,FALSE
"Anas platyrhynchos","Anas platyrhynchos",NA,"Mallard","Anatidae","EC 11/21",NA,NA,"Primary",NA,"Ana_Pla_1","A112",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Ana_Pla","https://www.gbif.org/species/9761484",FALSE,FALSE,FALSE,FALSE
"Netta rufina","Netta rufina",NA,"Red-crested Pochard","Anatidae","PC028",NA,NA,"Fibro",NA,"Net_Ruf_1","A199",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Net_Ruf","https://www.iucnredlist.org/species/22680348/86012189",FALSE,FALSE,FALSE,FALSE
"Chauna torquata","Chauna torquata",NA,"Southern screamer","Anhimidae","MIG12-28179183","CAPTIVE","M","Fibro",NA,"Cha_Tor_1","A302",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Cha_Tor","https://www.iucnredlist.org/species/22679729/92826769",TRUE,FALSE,FALSE,FALSE
"Cygnus atratus","Cygnus atratus",NA,"Black swan","Anatidae","2.7919208E7","CAPTIVE","F","Fibro",NA,"Cyg_Atr_1","A317",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Cyg_Atr","https://www.iucnredlist.org/species/22679843/131907524",TRUE,FALSE,FALSE,FALSE
"Cygnus melancoryphus","Cygnus melancoryphus",NA,"Black-necked swan","Anatidae",NA,"CAPTIVE","F","Fibro",NA,"Cyg_Mel_1","A503",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Cyg_Mel","https://www.iucnredlist.org/species/22679846/92832118",TRUE,FALSE,FALSE,FALSE
"Cygnus melancoryphus","Cygnus melancoryphus",NA,"Black-necked swan","Anatidae","MIG12-29016900/ BARCELONA / 11108",NA,NA,"Primary",NA,"Cyg_Mel_2",NA,NA,NA,NA,"LC","Birds",FALSE,FALSE,"Cyg_Mel",NA,FALSE,FALSE,FALSE,FALSE
"Apus pallidus","Apus pallidus",NA,"Pallid Swift","Apodidae","CRAS 58/21",NA,NA,"Primary",NA,"Apu_Pal_1","A113",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Apu_Pal","https://www.iucnredlist.org/species/22686815/155463151",FALSE,FALSE,FALSE,FALSE
"Apus pallidus","Apus pallidus",NA,"Pallid Swift","Apodidae","CRAS 365/21",NA,NA,"Primary",NA,"Apu_Pal_2","A180",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Apu_Pal","https://www.gbif.org/species/5228695",FALSE,FALSE,FALSE,FALSE
"Apus pallidus","Apus pallidus",NA,"Pallid Swift","Apodidae","CRAS 45/21",NA,NA,"Primary",NA,"Apu_Pal_3","A99",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Apu_Pal",NA,FALSE,FALSE,FALSE,FALSE
"Apus apus","Apus apus",NA,"Common swift","Apodidae","55/21",NA,NA,"Primary",NA,"Apu_Apu_1","A111",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Apu_Apu","https://www.iucnredlist.org/species/22686800/86111691",FALSE,FALSE,FALSE,FALSE
"Streptopelia decaocto","Streptopelia decaocto",NA,"Eurasian Collared-dove","Columbidae","CRAS 65/21",NA,NA,"Fibro","Streptopelia decaocto A118","Str_Dec_1","A118",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Str_Dec","https://www.iucnredlist.org/species/22727811/154457750",FALSE,TRUE,FALSE,FALSE
"Columba livia","Columba livia",NA,"Rock Dove","Columbidae","CRAS 68/21",NA,NA,"Primary",NA,"Col_Liv_1","A120",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Col_Liv","https://www.iucnredlist.org/species/22690066/155493121",FALSE,FALSE,FALSE,FALSE
"Columba palumbus","Columba palumbus",NA,"Common Woodpigeon","Columbidae","SM4",NA,NA,"Primary",NA,"Col_Pal_1","A123",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Col_Pal","https://www.iucnredlist.org/species/22690103/131924602",FALSE,FALSE,FALSE,FALSE
"Ptilinopus melanospilus","Ptilinopus melanospilus",NA,"Black-naped Fruit-dove","Columbidae","MIG12-28149323","CAPTIVE","F","Fibro",NA,"Pti_Mel_1","A253",NA,NA,NA,"LC","Birds",TRUE,FALSE,"Pti_Mel","https://www.iucnredlist.org/species/22691558/93316491",FALSE,FALSE,FALSE,FALSE
"Zenaida graysoni","Zenaida graysoni",NA,"Socorro dove","Columbidae","DMP17-00807","CAPTIVE","F","Fibro",NA,"Zen_Gra_1","A255",NA,NA,NA,"EW","Birds",TRUE,FALSE,"Zen_Gra","https://www.iucnredlist.org/species/22690740/178409463",TRUE,FALSE,FALSE,FALSE
"Gallicolumba luzonica","Gallicolumba luzonica",NA,"Luzon bleeding-heart dove","Columbidae","1.5949977E7","CAPTIVE","M","Primary",NA,"Gal_Luz_1","A266",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Gal_Luz","https://www.iucnredlist.org/species/22690979/93297883",FALSE,FALSE,FALSE,FALSE
"Gallicolumba luzonica","Gallicolumba luzonica",NA,"Luzon bleeding-heart dove","Columbidae","QGH20-05524/ BARCELONA / 13798",NA,NA,"Primary",NA,"Gal_Luz_2","A406",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Gal_Luz",NA,FALSE,FALSE,FALSE,FALSE
"Gallicolumba luzonica","Gallicolumba luzonica",NA,"Luzon bleeding-heart dove","Columbidae","VKM21-05794/VKM21-05794","CAPTIVE","M","Fibro",NA,"Gal_Luz_3","A411",NA,NA,NA,"NT","Birds",TRUE,FALSE,"Gal_Luz",NA,TRUE,FALSE,FALSE,FALSE
"Caloenas nicobarica","Caloenas nicobarica",NA,"Nicobar pigeon","Columbidae","QGH15-02298","CAPTIVE","F","Primary",NA,"Cal_Nic_1","A338",NA,NA,NA,"NT","Birds",FALSE,FALSE,"Cal_Nic","https://www.iucnredlist.org/species/22690974/178136167",FALSE,FALSE,FALSE,FALSE
"Spheniscus demersus","Spheniscus demersus",NA,"Jackass penguin","Spheniscidae","24208794/MADRID Z / PJ19","CAPTIVE","M","Fibro",NA,"Sph_Dem_1","A144",NA,NA,NA,"EN","Birds",TRUE,FALSE,"Sph_Dem","https://www.iucnredlist.org/species/22697810/157423361",FALSE,FALSE,FALSE,FALSE
"Spheniscus demersus","Spheniscus demersus",NA,"Jackass penguin","Spheniscidae","WKP13-00159/MADRID Z / PJ61","CAPTIVE","F","Primary",NA,"Sph_Dem_2","A430",NA,NA,NA,"EN","Birds",FALSE,FALSE,"Sph_Dem","https://www.gbif.org/species/5229384",FALSE,FALSE,FALSE,FALSE
"Spheniscus demersus","Spheniscus demersus",NA,"Jackass penguin","Spheniscidae","8297685/ID: MADRID Z / PJ29","CAPTIVE","F","Fibro",NA,"Sph_Dem_3","A431",NA,NA,NA,"EN","Birds",TRUE,FALSE,"Sph_Dem","https://animaldiversity.org/accounts/Spheniscus_demersus/",TRUE,FALSE,FALSE,FALSE
"Spheniscus humboldti","Spheniscus humboldti",NA,"Humboldt penguin","Spheniscidae","1.9146851E7","CAPTIVE","M","Primary",NA,"Sph_Hum_1","A299",NA,NA,NA,"VU","Birds",FALSE,FALSE,"Sph_Hum","https://www.iucnredlist.org/species/22697817/182714418",FALSE,FALSE,FALSE,FALSE
"Spheniscus humboldti","Spheniscus humboldti",NA,"Humboldt penguin","Spheniscidae","MIG12-28033500/BARCELONA / 5029","CAPTIVE","M","Fibro",NA,"Sph_Hum_2","A386",NA,NA,NA,"VU","Birds",TRUE,FALSE,"Sph_Hum",NA,FALSE,FALSE,FALSE,FALSE
"Halcyon malimbica","Halcyon malimbica",NA,"Blue-breasted kingfisher","Alcedinidae","QGH15-02460","CAPTIVE","M","Primary",NA,"Hal_Mal_1","A155",NA,NA,NA,"LC","Birds",FALSE,FALSE,"Hal_Mal","https://www.iucnredlist.org/species/22683269/92981938",FALSE,FALSE,FALSE,FALSE
