"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"10.0","Chamaeleo chamaeleon","Chamaeleo chamaeleon",NA,"Mediterranean Chameleon","Chamaeleonidae","CRAS 663/20",NA,NA,"Primary",NA,NA,NA,NA,NA,"A91","A91",NA,NA,NA,NA,"https://www.iucnredlist.org/species/157246/743434","LC","Reptiles",NA,FALSE,FALSE
"10.0","Chamaeleo chamaeleon","Chamaeleo chamaeleon",NA,"Mediterranean Chameleon","Chamaeleonidae","-",NA,NA,"Fibro","DNA",NA,NA,NA,NA,"A213","A213",NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=91907&lvl=3&lin=f&keep=1&srchmode=1&unlock","LC","Reptiles",NA,TRUE,FALSE
"11.0","Varanus albigularis","Varanus albigularis",NA,"White-throated monitor","Varanidae","QGH18-04891/ID: BARCELONA / 13202","DECOMISO/INDETERM","F","Fibro","DNA",NA,NA,NA,NA,"A173","A173",NA,NA,NA,NA,"https://www.iucnredlist.org/species/22473612/22473630","LC","Reptiles",NA,TRUE,FALSE
"12.0","Uromastyx acanthinura","Uromastyx acanthinura",NA,"North African Spiny-tailed Lizard","Agamidae","BARCELONA / 11362",NA,"F","Primary",NA,NA,NA,NA,NA,"A242","A242",NA,NA,NA,NA,"https://reptile-database.reptarium.cz/species?genus=Uromastyx&species=acanthinura","NT","Reptiles",NA,FALSE,FALSE
"13.0","Varanus prasinus","Varanus prasinus",NA,"Emerald monitor","Varanidae","BHG15-00445/BARCELONA / 12643","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A268","A268",NA,NA,NA,NA,"https://www.iucnredlist.org/species/42485751/101752115","LC","Reptiles",NA,FALSE,FALSE
"14.0","Furcifer pardalis","Furcifer pardalis",NA,"Panther chameleon","Chamaeleonidae","TLJ22-01287/BIOPARCVA / C10","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A314","A314",NA,NA,NA,NA,"https://www.iucnredlist.org/species/172955/6947909","LC","Reptiles",NA,FALSE,FALSE
"15.0","Dracaena guianensis","Dracaena guianensis",NA,"Caiman lizard","Teiidae","17968157/Barcelona9399","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A452","A452",NA,NA,NA,NA,"https://www.iucnredlist.org/species/44579645/44579652","LC","Reptiles",NA,TRUE,FALSE
"16.0","Eublepharis macularius","Eublepharis macularius",NA,"Leopard gecko","Eublepharidae",NA,"CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A479","A479",NA,NA,NA,NA,"https://www.iucnredlist.org/species/164745/1072324","LC","Reptiles",NA,FALSE,FALSE
"17.0","Python regius","Python regius",NA,"Python regius","Pythonidae","1.7963991E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A328","A328",NA,NA,NA,NA,"https://www.iucnredlist.org/species/177562/15340592","LC","Reptiles",NA,FALSE,FALSE
"18.0","Python breitensteini","Python breitensteini",NA,"Bornean blood python","Pythonidae","15808636/Barcelona/7300","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A396","A396",NA,NA,NA,NA,NA,"LC","Reptiles",NA,FALSE,FALSE
