"taxon_id","scientific_name","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession","common_name","alternative_name","subspecies","genus","subfamily","family"
"9886","Muntiacus reevesi","Muntiacus reevesi","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,NA,"species","Muntiacus reevesi","Chromosome",113316579,18600000,26044,"2021-10-05",NA,2924220000,23,2,"insdc_open",NA,NA,NA,"Muntiacus reevesi,Reeve's Muntjac",NA,NA,"Muntiacus",NA,"Cervidae"
"54508","Jacana jacana","Jacana jacana","Charadriiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Trachea","species","Jacana jacana","Scaffold",126631,31221,14651,"2020-07-10",NA,1418100000,41,2,"insdc_open",NA,NA,NA,"Wattled jacana,wattled jacana",NA,NA,"Jacana",NA,"Jacanidae"
"9417","Artibeus jamaicensis","Artibeus jamaicensis","Chiroptera","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,0,0,0,0,"Tissue","species","Artibeus jamaicensis","Scaffold",22092642,22092642,29413,"2021-12-20",NA,2591700000,15,2,"published","GCF_021234435.1-RS_2023_03",NA,NA,"Jamaican Fruit-eating Bat,Jamaican fruit-eating bat",NA,NA,"Artibeus","Stenodermatinae","Phyllostomidae"
"8901","Nycticorax nycticorax","Nycticorax nycticorax","Pelecaniformes","Aves","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,6,2,2,0,0,"Tissue","species","Nycticorax nycticorax","Scaffold",3016563,73971,NA,"2022-05-16",NA,1320300000,32,2,"insdc_open",NA,NA,NA,"Black-crowned night heron,Black-crowned Night Heron",NA,NA,"Nycticorax",NA,"Ardeidae"
"8928","Ciconia ciconia","Ciconia ciconia","Ciconiiformes","Aves","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,3,1,1,0,0,"Tissue","species","Ciconia ciconia","Scaffold",84601090,31371,NA,"2023-01-06",NA,1545240000,34,2,"insdc_open",NA,NA,NA,"White stork,White Stork",NA,NA,"Ciconia",NA,"Ciconiidae"
"100858","Threskiornis aethiopicus","Threskiornis aethiopicus","Pelecaniformes","Aves","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,1,1,0,0,"Tissue/Trachea","species","Threskiornis aethiopicus","Scaffold",90113662,32973,NA,"2023-02-10",NA,1222500000,34,2,"insdc_open",NA,NA,NA,"Sacred ibis",NA,NA,"Threskiornis",NA,"Threskiornithidae"
"57412","Colius striatus","Colius striatus","Coliiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,2,1,1,0,0,"Trachea","species","Colius striatus","Scaffold",46063,25860,15163,"2014-05-13",83.7,1437660000,38,2,"insdc_open","100.0",NA,NA,"Speckled Mousebird,speckled mousebird",NA,NA,"Colius",NA,"Coliidae"
"8932","Columba livia","Columba livia","Columbiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue","species","Columba livia","Scaffold",14233134,26627,21046,"2017-12-13",96.8,1442550000,40,2,"insdc_open","102.0",NA,NA,"Rock Dove",NA,NA,"Columba",NA,"Columbidae"
"187106","Caloenas nicobarica","Caloenas nicobarica","Columbiformes","Aves","Birds","NEAR THREATENED",TRUE,TRUE,FALSE,1,0,0,0,0,"Trachea","species","Caloenas nicobarica","Scaffold",20885367,72340,15520,"2020-07-10",NA,1506120000,40,2,"insdc_open",NA,NA,NA,"Nicobar pigeon",NA,NA,"Caloenas",NA,"Columbidae"
"170866","Halcyon malimbica","Halcyon malimbica","Coraciiformes","Aves","Birds","LEAST CONCERN",TRUE,FALSE,FALSE,1,0,0,0,0,"Tissue","species","Halcyon malimbica","Scaffold",63048,26796,NA,"2022-08-01",NA,1545240000,38,2,"insdc_open",NA,NA,NA,NA,NA,NA,"Halcyon",NA,"Alcedinidae"
"121530","Tauraco erythrolophus","Tauraco erythrolophus","Musophagiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Trachea","species","Tauraco erythrolophus","Scaffold",56334,22885,15194,"2014-06-25",91.1,1396095000,41,2,"insdc_open","100.0",NA,NA,"Red-crested turaco,red-crested turaco",NA,NA,"Tauraco",NA,"Musophagidae"
"9365","Erinaceus europaeus","Erinaceus europaeus","Eulipotyphla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,0,0,0,0,"Tissue","species","Erinaceus europaeus","Scaffold",3264618,21359,22762,"2012-09-19",NA,3579480000,24,2,"insdc_open","101.0","eriEur1","-","West European Hedgehog,Hedgehog",NA,NA,"Erinaceus","Erinaceinae","Erinaceidae"
"109475","Suncus etruscus","Suncus etruscus","Eulipotyphla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue","species","Suncus etruscus","Chromosome",131952995,5042816,39091,"2022-07-06",NA,2577030000,21,2,"insdc_open","GCF_024139225.1-RS_2023_02",NA,NA,"Etruscan Shrew,white-toothed pygmy shrew",NA,NA,"Suncus","Crocidurinae","Soricidae"
"148594","Falco naumanni","Falco naumanni","Falconiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,2,0,0,0,0,"Tissue/Trachea","species","Falco naumanni","Chromosome",91761059,13754753,19775,"2021-03-30",97.1,1403430000,26,2,"insdc_open","100.0",NA,NA,"Lesser Kestrel",NA,NA,"Falco",NA,"Falconidae"
"9031","Gallus gallus domestic","Gallus gallus","Galliformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Tissue","species","Gallus gallus","Chromosome",90861225,18834961,25635,"2021-01-19",96.6,1237170000,39,2,"insdc_open","106.0","bGalGal1.mat.broiler.GRCg7b","GCA_016699485.1","Domestic chicken",NA,"domestic","Gallus",NA,"Phasianidae"
"9049","Pavo cristatus","Pavo cristatus","Galliformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,2,2,0,0,"Trachea/Skin","species","Pavo cristatus","Scaffold",11421185,6188159,NA,"2022-01-19",96.3,1310520000,27,2,"insdc_open",NA,"AIIM_Pcri_1.0","GCA_005519975.1","Indian Peafowl,Indian peafowl","Pavo cristatuts",NA,"Pavo",NA,"Phasianidae"
